id,brood,egg.number,mean.egg.size,leverage,cooks_distance,focal_point,cooks_flag,leverage_flag
9CK10,two,10,4.113,0.08806940058240646,0.1956428235530439,TRUE,TRUE,FALSE
Q64J9,two,4,3.266,0.14784219812638685,0.12477462762989107,FALSE,TRUE,TRUE
HMX5M,two,1,3.515,0.29671540083556724,0.10371800477680797,FALSE,TRUE,TRUE
HMX5M,one,21,3.323,0.1518507729175467,0.043303248969712285,FALSE,FALSE,TRUE
8WOPO,one,44,3.876,0.10092605568014848,0.04289489306721297,FALSE,FALSE,FALSE
XCLRC,one,38,3.929,0.05645418678912368,0.035791272040882643,FALSE,FALSE,FALSE
LE9Q9,one,40,3.917,0.060956085281242404,0.0352664233008713,FALSE,FALSE,FALSE
M69PP,one,59,3.103,0.029730528811766313,0.034076655498439426,FALSE,FALSE,FALSE
NUS9F,one,71,3.219,0.04942456061546804,0.032011386181732,FALSE,FALSE,FALSE
GU238,one,36,3.924,0.04023108130608806,0.02967401821698847,FALSE,FALSE,FALSE
SW5Z4,one,38,3.218,0.05404815777459302,0.026790251761247674,FALSE,FALSE,FALSE
VUSEL,one,61,3.864,0.04450686715873787,0.025324490129681375,FALSE,FALSE,FALSE
F5871,one,86,3.325,0.0809916118892114,0.024740659606001813,FALSE,FALSE,FALSE
FY4I5,one,60,3.174,0.03077829758754322,0.02439754055041085,FALSE,FALSE,FALSE
QM7VX,one,68,3.865,0.05038795545350862,0.022181051360601268,FALSE,FALSE,FALSE
BLD30,one,23,3.395,0.13790164477807793,0.0220300200479179,FALSE,FALSE,TRUE
7YLJ2,one,61,3.932,0.03273201556624873,0.02182402028355567,FALSE,FALSE,FALSE
9B714,one,50,3.21,0.029273273147429606,0.01956651901998368,FALSE,FALSE,FALSE
GU238,two,30,3.783,0.022791310888505365,0.01753511560857961,FALSE,FALSE,FALSE
QM7VX,two,14,3.776,0.03679810038212258,0.01684791619461117,FALSE,FALSE,FALSE
NZAI8,two,44,3.102,0.050259432026725406,0.01642414778828884,FALSE,FALSE,FALSE
R2XAI,one,79,3.758,0.10002344669831974,0.016401603579886497,FALSE,FALSE,FALSE
LT277,two,39,3.706,0.026364335174783846,0.014994309995095906,FALSE,FALSE,FALSE
GS89R,one,39,3.29,0.036733446944304436,0.01377375044708865,FALSE,FALSE,FALSE
NUS9F,two,54,3.108,0.03529181200224369,0.011961600194244911,FALSE,FALSE,FALSE
7KXER,one,22,3.633,0.13832990297793013,0.010778500076414057,FALSE,FALSE,TRUE
ZV3ZK,one,60,3.315,0.039859930852230586,0.009622846255869082,FALSE,FALSE,FALSE
