Analysis,Parameter,Scale,Estimate,95% CrI,P(<0)
Bivariate covariance,Persistent among-female correlation,Proportional (log),-0.11,"[-0.77, 0.72]",0.60
Bivariate covariance,Within-female residual correlation,Proportional (log),-0.26,"[-0.49, -0.01]",0.98
Brood-specific slope,First brood,Proportional (pooled SD),0.18,"[-0.37, 0.74]",0.26
Brood-specific slope,Second brood,Proportional (pooled SD),-0.30,"[-0.52, -0.07]",0.99
Brood-specific slope,Second minus first,Proportional (pooled SD),-0.48,"[-1.04, 0.08]",0.95
Brood-specific slope,First brood,Proportional (within-brood SD),0.10,"[-0.18, 0.38]",0.24
Brood-specific slope,Second brood,Proportional (within-brood SD),-0.37,"[-0.64, -0.09]",0.99
Brood-specific slope,Second minus first,Proportional (within-brood SD),-0.47,"[-0.83, -0.09]",0.99
Change score,Within-female change,Absolute,-0.03,"[-0.35, 0.28]",0.59
Change score,Within-female change,Proportional (log),-0.25,"[-0.55, 0.05]",0.95
Within-between regression,Within-female slope,Absolute,0.00,"[-0.24, 0.24]",0.51
Within-between regression,Within-female slope,Proportional (log),-0.17,"[-0.39, 0.06]",0.93
Within-between regression,Among-female slope,Absolute,-0.23,"[-0.45, 0.00]",0.97
Within-between regression,Among-female slope,Proportional (log),-0.18,"[-0.41, 0.05]",0.94
