model,max_rhat,min_bulk_ess,min_tail_ess,n_divergent,n_max_treedepth
bivariate,1.0022334972002926,2183.2232818400153,3204.1756666148676,0,0
context,1.0013887417994098,1664.777615351159,1457.333812366916,0,0
context_without_reviewer_point,1.0023983927178417,1964.412673381194,2894.315261156651,0,0
context_without_reviewer_female,1.0039029443971457,1626.409796034362,2015.3672456466375,0,0
context_student,1.0022385276398218,1949.0193364078818,1956.0471665534137,0,0
context_within_brood_scaling,1.0008165116817191,2021.3747934196256,2932.506024427675,0,0
within_between_raw,1.0012177658617185,1859.8474763493773,3292.966362990552,0,0
within_between_log,1.0009991622149723,1971.3439402235722,2834.268733353068,0,0
change_raw,1.0004140504481454,5151.714042601013,6088.336204605952,0,0
change_log,1.0014527896353485,6023.8180096563,7101.162863361817,0,0
