num,id,pronotum_length_1,pronotum_length_2,pronotum_length_3,body_mass_1,body_mass_2,body_mass_3
1,ODF8T,1.917,1.958,1.918,65.1,64.3,63.9
2,1CHC9,1.852,1.884,1.862,66.6,65.8,65.4
3,2KNJE,1.793,1.832,1.823,63.8,63.6,63.7
4,7KXER,1.788,1.813,1.793,60.6,60,59.8
5,7YLJ2,1.791,1.81,1.78,67.7,69.1,64.6
6,8WOPO,1.416,1.503,1.418,65.3,63,62.7
7,9B714,1.697,1.732,1.7,59,58.9,58.5
8,9CK10,2.12,2.166,2.147,65.7,69.5,67.5
9,9DTO6,1.692,1.736,1.729,66.5,66.2,66.2
10,9JKMX,1.806,1.805,1.806,68.5,68,67.3
11,ASN86,1.94,1.956,1.935,70.3,69.6,69.4
12,B5MNL,1.776,1.801,1.776,51.9,50.9,50.5
13,BLD30,1.59,1.624,1.612,60.8,60,60.4
14,CAJR1,2.005,2.038,2.019,71.3,69.8,70.4
15,CPM1J,1.872,1.943,1.855,67,66.9,68.5
16,F5871,1.862,1.879,1.862,57.9,58.4,58.6
17,FY4I5,1.79,1.829,1.806,52.8,52.4,52.2
18,GOMPR,1.8,1.821,1.804,52.8,52.1,51.8
19,GS89R,1.697,1.714,1.702,53.1,51.8,52.3
20,GU238,1.836,1.897,1.841,55.3,54.9,52.6
21,HMX5M,1.768,1.799,1.767,82.6,82,82
22,IU3CX,2.129,2.165,2.154,71.4,70.7,70.7
23,KYM8B,2.018,2.04,2.017,60.1,59.5,59
24,L39Q9,1.552,1.576,1.564,63.8,63.5,61
25,LT277,1.794,1.81,1.798,56.5,56,56.3
26,M69PP,1.785,1.825,1.796,50.7,50.3,50.4
27,NJHRZ,1.869,1.899,1.89,58.3,58.4,58.6
28,NUS9F,1.788,1.816,1.811,66,65.8,65.5
29,NZA18,2.08,2.113,2.056,70.3,71,71.7
30,PFWX1,1.867,1.926,1.908,42.2,42.1,41.7
31,Q1F6B,2.014,2.041,2.011,64.3,63.4,63.1
32,Q64J9,1.524,1.547,1.541,56.4,56.4,56.1
33,Q9RWU,1.918,1.954,1.926,60.4,59.9,59.4
34,QM7VX,1.737,1.727,1.713,59.7,59.5,60.9
35,R2XAI,1.593,1.606,1.605,73.7,73.2,73.5
36,SF9AX,1.83,1.85,1.829,51.9,51.7,51.6
37,SW5Z4,2.037,2.061,2.02,47,46.6,46.8
38,V16AG,1.93,1.948,1.924,72.3,71.5,70.7
39,VUSEL,2.021,2.028,2.059,61.6,60.9,60.8
40,XCLRC,1.543,1.622,1.619,36.2,36.2,35.8
41,XNQUK,1.701,1.755,1.726,49.9,48.4,48.3
42,XZG4C,1.757,1.795,1.79,69.5,69.1,68.6
43,Y211M,1.704,1.75,1.723,62.6,61.8,61.5
44,ZKOEN,2.074,2.112,2.102,58.9,59.2,58.9
45,ZV3ZK,1.977,2.024,2.023,74.6,73.4,73.9
