num,id,length,brood,date,code,perim,perim2,perim3
1,0DF8T,1.12,2,2025-02-19,0,3.254,3.315,3.284
2,0DF8T,1.05,2,2025-02-19,0,3.273,3.335,3.304
3,0DF8T,1,2,2025-02-19,0,3.164,3.224,3.194
4,0DF8T,1.08,2,2025-02-19,0,3.176,3.236,3.206
5,0DF8T,1.08,2,2025-02-19,0,3.044,3.102,3.073
6,0DF8T,1.11,2,2025-02-19,0,3.223,3.284,3.253
7,0DF8T,1.1,2,2025-02-19,0,3.11,3.169,3.14
8,0DF8T,1.11,2,2025-02-19,0,3.264,3.325,3.294
9,0DF8T,1.03,2,2025-02-19,0,3.567,3.634,3.6
10,0DF8T,1.11,2,2025-02-19,0,3.026,3.083,3.054
11,0DF8T,1.08,2,2025-02-19,0,3.1,3.159,3.129
12,0DF8T,1.07,2,2025-02-19,0,3.261,3.323,3.292
13,0DF8T,1.14,2,2025-02-19,0,3.063,3.121,3.092
14,0DF8T,1.05,2,2025-02-19,0,3.172,3.232,3.202
15,0DF8T,1.06,2,2025-02-19,0,3.257,3.318,3.287
16,0DF8T,1.15,2,2025-02-19,0,3.155,3.214,3.184
17,0DF8T,1.1,2,2025-02-19,0,3.204,3.265,3.234
18,0DF8T,1.1,2,2025-02-19,0,3.224,3.285,3.255
19,0DF8T,1.09,2,2025-02-19,0,3.296,3.358,3.326
20,0DF8T,1.06,2,2025-02-19,0,3.137,3.196,3.167
21,0DF8T,1.09,2,2025-02-19,0,3.152,3.212,3.182
22,0DF8T,1.1,2,2025-02-19,0,3.26,3.322,3.291
23,0DF8T,1.05,2,2025-02-19,0,3.222,3.283,3.252
24,0DF8T,1.13,2,2025-02-19,0,3.32,3.383,3.352
25,0DF8T,1.09,2,2025-02-19,0,3.251,3.313,3.282
26,0DF8T,1.1,2,2025-02-19,0,3.161,3.22,3.19
27,0DF8T,1.14,2,2025-02-19,0,3.29,3.352,3.321
28,0DF8T,1.06,2,2025-02-19,0,3.375,3.438,3.406
29,0DF8T,1.07,2,2025-02-19,0,3.077,3.135,3.106
30,0DF8T,1.11,2,2025-02-19,0,3.047,3.104,3.075
31,0DF8T,1.13,2,2025-02-19,0,3.242,3.303,3.272
32,0DF8T,1.12,2,2025-02-19,0,3.131,3.19,3.161
33,0DF8T,1.13,2,2025-02-19,0,3.073,3.131,3.101
34,0DF8T,1.08,2,2025-02-19,0,3.05,3.107,3.078
35,0DF8T,1.03,2,2025-02-19,0,3.219,3.28,3.249
36,0DF8T,1.06,2,2025-02-19,0,3.037,3.095,3.066
37,0DF8T,1.07,2,2025-02-19,0,3.19,3.25,3.22
38,0DF8T,1.08,2,2025-02-19,0,3.215,3.276,3.245
39,0DF8T,1.12,2,2025-02-19,0,3.138,3.197,3.167
40,0DF8T,1.06,2,2025-02-19,0,3.193,3.254,3.223
41,0DF8T,1.08,2,2025-02-19,0,3.29,3.352,3.321
42,0DF8T,1.09,2,2025-02-19,0,3.006,3.063,3.034
43,0DF8T,1.14,2,2025-02-19,0,3.265,3.327,3.296
44,0DF8T,1.1,2,2025-02-19,0,3.117,3.176,3.147
45,0DF8T,1.08,2,2025-02-19,0,3.2,3.26,3.23
46,0DF8T,1.08,2,2025-02-19,0,3.354,3.418,3.386
47,0DF8T,1.08,2,2025-02-19,0,3.171,3.231,3.2
