num,id,length,brood,date,code,perim,perim2,perim3
1,1CHC9,1.19,2,2025-02-19,0,3.656,3.725,3.69
2,1CHC9,1.19,2,2025-02-19,0,3.456,3.522,3.489
3,1CHC9,1.19,2,2025-02-19,0,3.358,3.421,3.389
4,1CHC9,1.2,2,2025-02-19,0,3.468,3.534,3.501
5,1CHC9,1.2,2,2025-02-19,0,3.856,3.929,3.892
6,1CHC9,1.19,2,2025-02-19,0,3.302,3.364,3.333
7,1CHC9,1.15,2,2025-02-19,0,3.507,3.574,3.54
8,1CHC9,1.13,2,2025-02-19,0,3.493,3.559,3.526
9,1CHC9,1.2,2,2025-02-19,0,3.69,3.76,3.725
10,1CHC9,1.19,2,2025-02-19,0,3.599,3.668,3.633
11,1CHC9,1.19,2,2025-02-19,0,3.652,3.721,3.686
12,1CHC9,1.21,2,2025-02-19,0,3.414,3.478,3.446
13,1CHC9,1.17,2,2025-02-19,0,3.48,3.546,3.513
14,1CHC9,1.25,2,2025-02-19,0,3.867,3.94,3.903
15,1CHC9,1.36,2,2025-02-19,0,3.593,3.661,3.627
16,1CHC9,1.2,2,2025-02-19,0,3.898,3.972,3.935
17,1CHC9,1.18,2,2025-02-19,0,3.513,3.58,3.546
18,1CHC9,1.19,2,2025-02-19,0,3.631,3.699,3.665
19,1CHC9,1.19,2,2025-02-19,0,3.504,3.57,3.537
20,1CHC9,1.22,2,2025-02-19,0,3.691,3.761,3.726
21,1CHC9,1.21,2,2025-02-19,0,3.592,3.66,3.626
22,1CHC9,1.26,2,2025-02-19,0,3.526,3.593,3.559
23,1CHC9,1.24,2,2025-02-19,0,3.393,3.457,3.425
24,1CHC9,1.19,2,2025-02-19,0,3.666,3.736,3.701
25,1CHC9,1.19,2,2025-02-19,0,3.459,3.525,3.492
26,1CHC9,1.2,2,2025-02-19,0,3.469,3.535,3.502
27,1CHC9,1.21,2,2025-02-19,0,3.627,3.696,3.661
28,1CHC9,1.22,2,2025-02-19,0,3.555,3.623,3.589
29,1CHC9,1.2,2,2025-02-19,0,4.046,4.122,4.084
30,1CHC9,1.17,2,2025-02-19,0,3.452,3.518,3.485
