num,id,length,brood,date,code,perim,perim2,perim3
1,2KNJE,1.23,1,2024-11-14,0,3.686,3.621,3.713
2,2KNJE,1.22,1,2024-11-14,0,3.55,3.567,3.576
3,2KNJE,1.23,1,2024-11-14,0,3.492,3.457,3.518
4,2KNJE,1.23,1,2024-11-14,0,3.494,3.753,3.519
5,2KNJE,1.23,1,2024-11-14,0,3.641,3.52,3.668
6,2KNJE,1.22,1,2024-11-14,0,3.453,3.444,3.478
7,2KNJE,1.22,1,2024-11-14,0,3.558,3.539,3.584
8,2KNJE,1.23,1,2024-11-14,0,3.53,3.558,3.556
9,2KNJE,1.18,1,2024-11-14,0,3.364,3.344,3.389
10,2KNJE,1.18,1,2024-11-14,0,3.384,3.364,3.409
11,2KNJE,1.22,1,2024-11-14,0,3.55,3.474,3.576
12,2KNJE,1.23,1,2024-11-14,0,3.585,3.509,3.611
13,2KNJE,1.23,1,2024-11-14,0,3.528,3.453,3.554
14,2KNJE,1.11,1,2024-11-14,0,3.533,3.514,3.559
15,2KNJE,1.21,1,2024-11-14,0,3.507,3.457,3.533
16,2KNJE,1.19,1,2024-11-14,0,3.562,3.476,3.589
17,2KNJE,1.17,1,2024-11-14,0,3.599,3.55,3.626
18,2KNJE,1.24,1,2024-11-14,0,3.578,3.539,3.604
19,2KNJE,1.24,1,2024-11-14,0,3.537,3.514,3.563
20,2KNJE,1.18,1,2024-11-14,0,3.537,3.55,3.563
21,2KNJE,1.12,1,2024-11-14,0,3.47,3.462,3.496
22,2KNJE,1.2,1,2024-11-14,0,3.533,3.535,3.559
23,2KNJE,1.21,1,2024-11-14,0,3.52,3.48,3.546
24,2KNJE,1.21,1,2024-11-14,0,3.481,3.505,3.507
25,2KNJE,1.19,1,2024-11-14,0,3.524,3.502,3.55
26,2KNJE,1.19,1,2024-11-14,0,3.511,3.517,3.537
27,2KNJE,1.23,1,2024-11-14,0,3.562,3.576,3.589
28,2KNJE,1.21,1,2024-11-14,0,3.604,3.513,3.63
29,2KNJE,1.22,1,2024-11-14,0,3.545,3.45,3.572
30,2KNJE,1.24,1,2024-11-14,0,3.481,3.472,3.507
31,2KNJE,1.22,1,2024-11-14,0,3.578,3.524,3.604
32,2KNJE,1.21,1,2024-11-14,0,3.522,3.505,3.548
33,2KNJE,1.23,1,2024-11-14,0,3.475,3.472,3.5
34,2KNJE,1.26,1,2024-11-14,0,3.565,3.552,3.591
35,2KNJE,1.23,1,2024-11-14,0,3.515,3.439,3.541
36,2KNJE,1.23,1,2024-11-14,0,3.492,3.52,3.518
37,2KNJE,1.24,1,2024-11-14,0,3.503,3.479,3.528
38,2KNJE,1.24,1,2024-11-14,0,3.503,3.489,3.528
