num,id,length,brood,date,code,perim,perim2,perim3
1,7KXER,1.22,1,2024-11-27,0,3.588,3.656,3.622
2,7KXER,1.22,1,2024-11-27,0,3.523,3.589,3.556
3,7KXER,1.24,1,2024-11-27,0,3.76,3.831,3.795
4,7KXER,1.21,1,2024-11-27,0,3.663,3.733,3.698
5,7KXER,1.24,1,2024-11-27,0,3.541,3.608,3.575
6,7KXER,1.24,1,2024-11-27,0,3.605,3.673,3.639
7,7KXER,1.22,1,2024-11-27,0,3.536,3.603,3.569
8,7KXER,1.24,1,2024-11-27,0,3.47,3.536,3.503
9,7KXER,1.22,1,2024-11-27,0,3.575,3.642,3.608
10,7KXER,1.26,1,2024-11-27,0,3.618,3.687,3.652
11,7KXER,1.24,1,2024-11-27,0,3.705,3.775,3.74
12,7KXER,1.26,1,2024-11-27,0,3.558,3.625,3.591
13,7KXER,1.24,1,2024-11-27,0,3.594,3.662,3.628
14,7KXER,1.24,1,2024-11-27,0,3.729,3.8,3.764
15,7KXER,1.25,1,2024-11-27,0,3.55,3.617,3.583
16,7KXER,1.24,1,2024-11-27,0,3.746,3.817,3.781
17,7KXER,1.2,1,2024-11-27,0,3.664,3.733,3.698
18,7KXER,1.21,1,2024-11-27,0,3.482,3.548,3.515
19,7KXER,1.23,1,2024-11-27,0,3.548,3.615,3.581
20,7KXER,1.26,1,2024-11-27,0,3.544,3.611,3.578
21,7KXER,1.21,1,2024-11-27,0,3.601,3.669,3.635
22,7KXER,1.22,1,2024-11-27,0,3.576,3.644,3.61
