num,id,length,brood,date,code,perim,perim2,perim3
1,7YLJ2,1.12,2,2025-01-31,0,3.283,3.345,3.314
2,7YLJ2,1.13,2,2025-01-31,0,3.255,3.316,3.285
3,7YLJ2,1.09,2,2025-01-31,0,3.586,3.654,3.62
4,7YLJ2,1.11,2,2025-01-31,0,3.453,3.518,3.485
5,7YLJ2,1.09,2,2025-01-31,0,3.216,3.277,3.246
6,7YLJ2,1.12,2,2025-01-31,0,3.32,3.382,3.351
7,7YLJ2,1.07,2,2025-01-31,0,3.204,3.265,3.234
8,7YLJ2,1.05,2,2025-01-31,0,3.358,3.422,3.39
9,7YLJ2,1.12,2,2025-01-31,0,3.345,3.409,3.377
10,7YLJ2,1.09,2,2025-01-31,0,3.342,3.405,3.373
11,7YLJ2,1.11,2,2025-01-31,0,3.282,3.344,3.313
12,7YLJ2,1.1,2,2025-01-31,0,3.226,3.287,3.256
13,7YLJ2,1.04,2,2025-01-31,0,3.278,3.34,3.309
14,7YLJ2,1.06,2,2025-01-31,0,3.455,3.52,3.487
15,7YLJ2,1.05,2,2025-01-31,0,3.197,3.257,3.227
16,7YLJ2,1.08,2,2025-01-31,0,3.378,3.442,3.41
17,7YLJ2,1.12,2,2025-01-31,0,3.316,3.379,3.348
18,7YLJ2,1.06,2,2025-01-31,0,3.439,3.504,3.471
19,7YLJ2,1.09,2,2025-01-31,0,3.314,3.376,3.345
20,7YLJ2,1.12,2,2025-01-31,0,3.359,3.423,3.391
21,7YLJ2,1.11,2,2025-01-31,0,3.319,3.382,3.35
22,7YLJ2,1.07,2,2025-01-31,0,3.167,3.227,3.197
23,7YLJ2,1.09,2,2025-01-31,0,3.23,3.291,3.26
24,7YLJ2,1.09,2,2025-01-31,0,3.342,3.405,3.373
25,7YLJ2,1.09,2,2025-01-31,0,3.362,3.425,3.393
26,7YLJ2,1.09,2,2025-01-31,0,3.285,3.347,3.316
27,7YLJ2,1.09,2,2025-01-31,0,3.387,3.451,3.419
28,7YLJ2,1.12,2,2025-01-31,0,3.407,3.472,3.439
29,7YLJ2,1.09,2,2025-01-31,0,3.364,3.427,3.395
30,7YLJ2,1.07,2,2025-01-31,0,3.286,3.348,3.317
31,7YLJ2,1.09,2,2025-01-31,0,3.222,3.283,3.252
32,7YLJ2,1.13,2,2025-01-31,0,3.592,3.66,3.626
33,7YLJ2,1.12,2,2025-01-31,0,3.312,3.375,3.343
34,7YLJ2,1.04,2,2025-01-31,0,3.248,3.31,3.279
35,7YLJ2,1.1,2,2025-01-31,0,3.613,3.682,3.647
36,7YLJ2,1.1,2,2025-01-31,0,3.157,3.216,3.186
37,7YLJ2,1.09,2,2025-01-31,0,3.524,3.591,3.557
38,7YLJ2,1.14,2,2025-01-31,0,3.34,3.403,3.371
