num,id,length,brood,date,code,perim,perim2,perim3
1,8WOPO,1.13,2,2025-02-12,0,3.284,3.346,3.315
2,8WOPO,1.08,2,2025-02-12,0,3.626,3.694,3.66
3,8WOPO,1.16,2,2025-02-12,0,3.319,3.381,3.35
4,8WOPO,1.16,2,2025-02-12,0,3.425,3.49,3.457
5,8WOPO,1.1,2,2025-02-12,0,3.317,3.38,3.348
6,8WOPO,1.1,2,2025-02-12,0,3.204,3.265,3.234
7,8WOPO,1.12,2,2025-02-12,0,3.38,3.444,3.412
8,8WOPO,1.13,2,2025-02-12,0,3.532,3.599,3.565
9,8WOPO,1.1,2,2025-02-12,0,3.349,3.413,3.381
10,8WOPO,1.13,2,2025-02-12,0,2.936,2.991,2.963
11,8WOPO,1.13,2,2025-02-12,0,3.255,3.316,3.285
12,8WOPO,1.13,2,2025-02-12,0,3.463,3.528,3.495
13,8WOPO,1.12,2,2025-02-12,0,3.296,3.358,3.326
14,8WOPO,1.07,2,2025-02-12,0,3.249,3.31,3.279
15,8WOPO,1.14,2,2025-02-12,0,3.334,3.397,3.366
16,8WOPO,1.18,2,2025-02-12,0,3.428,3.493,3.461
17,8WOPO,1.09,2,2025-02-12,0,3.181,3.242,3.211
18,8WOPO,1.15,2,2025-02-12,0,3.36,3.423,3.391
19,8WOPO,1.07,2,2025-02-12,0,3.278,3.34,3.309
20,8WOPO,1.21,2,2025-02-12,0,3.134,3.194,3.164
21,8WOPO,1.17,2,2025-02-12,0,3.583,3.651,3.616
22,8WOPO,1.19,2,2025-02-12,0,3.518,3.585,3.551
23,8WOPO,1.1,2,2025-02-12,0,3.464,3.53,3.497
24,8WOPO,1.1,2,2025-02-12,0,3.423,3.488,3.455
25,8WOPO,1.05,2,2025-02-12,0,3.141,3.201,3.171
26,8WOPO,1.14,2,2025-02-12,0,3.497,3.563,3.53
27,8WOPO,1.18,2,2025-02-12,0,3.548,3.615,3.581
28,8WOPO,1.11,2,2025-02-12,0,3.348,3.412,3.38
29,8WOPO,1.14,2,2025-02-12,0,3.246,3.308,3.277
30,8WOPO,1.15,2,2025-02-12,0,3.298,3.361,3.329
31,8WOPO,1.15,2,2025-02-12,0,3.415,3.48,3.447
32,8WOPO,1.17,2,2025-02-12,0,3.356,3.42,3.388
33,8WOPO,1.12,2,2025-02-12,0,3.402,3.466,3.434
34,8WOPO,1.09,2,2025-02-12,0,3.362,3.425,3.393
35,8WOPO,1.11,2,2025-02-12,0,3.331,3.394,3.363
36,8WOPO,1,2,2025-02-12,0,3.288,3.35,3.319
37,8WOPO,1.1,2,2025-02-12,0,3.27,3.332,3.301
38,8WOPO,1.16,2,2025-02-12,0,3.133,3.192,3.162
39,8WOPO,1.16,2,2025-02-12,0,3.289,3.351,3.32
