num,id,length,brood,date,code,perim,perim2,perim3
1,9B714,0.88,1,2024-12-09,0,3.373,3.437,3.404
2,9B714,1.06,1,2024-12-09,0,3.208,3.269,3.238
3,9B714,1.01,1,2024-12-09,0,3.264,3.325,3.294
4,9B714,1.07,1,2024-12-09,0,3.163,3.223,3.193
5,9B714,1.07,1,2024-12-09,0,3.118,3.177,3.147
6,9B714,1.04,1,2024-12-09,0,3.128,3.187,3.157
7,9B714,1.03,1,2024-12-09,0,3.114,3.173,3.143
8,9B714,1.06,1,2024-12-09,0,3.185,3.245,3.214
9,9B714,1.08,1,2024-12-09,0,3.201,3.262,3.231
10,9B714,1.07,1,2024-12-09,0,3.154,3.214,3.184
11,9B714,1.04,1,2024-12-09,0,3.093,3.152,3.122
12,9B714,1.06,1,2024-12-09,0,3.325,3.388,3.357
13,9B714,1.02,1,2024-12-09,0,3.181,3.242,3.211
14,9B714,1.01,1,2024-12-09,0,3.276,3.338,3.306
15,9B714,1.01,1,2024-12-09,0,3.134,3.194,3.164
16,9B714,1.01,1,2024-12-09,0,3.225,3.286,3.255
17,9B714,1.02,1,2024-12-09,0,3.189,3.25,3.219
18,9B714,1.05,1,2024-12-09,0,3.212,3.273,3.242
19,9B714,0.97,1,2024-12-09,0,3.257,3.318,3.287
20,9B714,1.03,1,2024-12-09,0,3.279,3.341,3.31
21,9B714,1.05,1,2024-12-09,0,3.143,3.202,3.173
22,9B714,1.04,1,2024-12-09,0,3.128,3.187,3.157
23,9B714,1.07,1,2024-12-09,0,3.325,3.388,3.357
24,9B714,1.01,1,2024-12-09,0,3.334,3.397,3.366
25,9B714,1.05,1,2024-12-09,0,3.155,3.215,3.185
26,9B714,1.04,1,2024-12-09,0,3.234,3.295,3.264
27,9B714,1.05,1,2024-12-09,0,3.187,3.247,3.217
28,9B714,1.01,1,2024-12-09,0,3.143,3.202,3.173
29,9B714,1.06,1,2024-12-09,0,3.267,3.329,3.298
30,9B714,1.01,1,2024-12-09,0,3.164,3.224,3.194
31,9B714,1.03,1,2024-12-09,0,3.135,3.195,3.165
32,9B714,1.06,1,2024-12-09,0,3.117,3.176,3.147
33,9B714,1.02,1,2024-12-09,0,3.324,3.387,3.356
34,9B714,1.03,1,2024-12-09,0,3.34,3.404,3.372
35,9B714,1.02,1,2024-12-09,0,3.211,3.271,3.241
36,9B714,1.04,1,2024-12-09,0,3.119,3.178,3.149
37,9B714,1.01,1,2024-12-09,0,3.106,3.165,3.136
38,9B714,1.04,1,2024-12-09,0,3.172,3.232,3.202
39,9B714,1.02,1,2024-12-09,0,3.156,3.216,3.186
40,9B714,1.03,1,2024-12-09,0,3.15,3.209,3.179
41,9B714,1.05,1,2024-12-09,0,3.17,3.23,3.199
42,9B714,1.05,1,2024-12-09,0,3.077,3.135,3.106
43,9B714,1.07,1,2024-12-09,0,2.9,2.955,2.928
44,9B714,1.02,1,2024-12-09,0,3.071,3.129,3.1
45,9B714,1.06,1,2024-12-09,0,3.182,3.243,3.212
46,9B714,1.04,1,2024-12-09,0,3.167,3.227,3.197
47,9B714,1.04,1,2024-12-09,0,3.137,3.196,3.167
48,9B714,1.08,1,2024-12-09,0,3.111,3.17,3.141
49,9B714,1.04,1,2024-12-09,0,3.002,3.058,3.03
50,9B714,1.04,1,2024-12-09,0,3.2,3.26,3.23
