num,id,length,brood,date,code,perim,perim2,perim3
1,9CK10,1.21,2,2024-12-27,0,3.891,3.964,3.927
2,9CK10,1.15,2,2024-12-27,0,4.302,4.383,4.342
3,9CK10,1.22,2,2024-12-27,0,3.84,3.912,3.876
4,9CK10,1.2,2,2024-12-27,0,3.999,4.075,4.037
5,9CK10,1.19,2,2024-12-27,0,4.028,4.237,4.178
6,9CK10,1.31,2,2024-12-27,0,3.845,4.104,4.065
7,9CK10,1.26,2,2024-12-27,0,4.534,3.918,3.881
8,9CK10,1.24,2,2024-12-27,0,4.581,4.62,4.576
9,9CK10,,2,2024-12-27,0,3.71,4.667,4.624
10,9CK10,,2,2024-12-27,0,3.76,3.78,3.745
