num,id,length,brood,date,code,perim,perim2,perim3
1,9DTO6,1.15,1,2024-11-27,0,3.397,3.461,3.429
2,9DTO6,1.15,1,2024-11-27,0,3.449,3.514,3.481
3,9DTO6,1.18,1,2024-11-27,0,3.496,3.562,3.528
4,9DTO6,1.17,1,2024-11-27,0,3.385,3.449,3.416
5,9DTO6,1.16,1,2024-11-27,0,3.523,3.589,3.556
6,9DTO6,1.19,1,2024-11-27,0,3.5,3.566,3.533
7,9DTO6,1.1,1,2024-11-27,0,3.46,3.525,3.492
8,9DTO6,1.17,1,2024-11-27,0,3.464,3.529,3.496
9,9DTO6,1.2,1,2024-11-27,0,3.717,3.788,3.752
10,9DTO6,1.13,1,2024-11-27,0,3.452,3.518,3.485
11,9DTO6,1.16,1,2024-11-27,0,3.513,3.579,3.546
12,9DTO6,1.21,1,2024-11-27,0,3.514,3.581,3.547
13,9DTO6,1.19,1,2024-11-27,0,3.562,3.629,3.595
14,9DTO6,1.17,1,2024-11-27,0,3.376,3.44,3.408
15,9DTO6,1.17,1,2024-11-27,0,3.769,3.84,3.804
16,9DTO6,1.18,1,2024-11-27,0,3.522,3.589,3.555
17,9DTO6,1.19,1,2024-11-27,0,3.522,3.589,3.555
18,9DTO6,1.17,1,2024-11-27,0,3.397,3.461,3.429
19,9DTO6,1.16,1,2024-11-27,0,3.515,3.582,3.548
20,9DTO6,1.15,1,2024-11-27,0,3.722,3.793,3.757
21,9DTO6,1.18,1,2024-11-27,0,3.532,3.599,3.565
22,9DTO6,1.19,1,2024-11-27,0,3.651,3.72,3.685
23,9DTO6,1.18,1,2024-11-27,0,3.585,3.652,3.618
24,9DTO6,1.2,1,2024-11-27,0,3.865,3.938,3.901
25,9DTO6,1.19,1,2024-11-27,0,3.438,3.503,3.47
26,9DTO6,1.2,1,2024-11-27,0,3.509,3.575,3.542
27,9DTO6,1.2,1,2024-11-27,0,3.453,3.518,3.485
28,9DTO6,1.18,1,2024-11-27,0,3.481,3.547,3.514
29,9DTO6,1.18,1,2024-11-27,0,3.519,3.586,3.552
30,9DTO6,1.19,1,2024-11-27,0,3.637,3.706,3.671
31,9DTO6,1.17,1,2024-11-27,0,3.556,3.623,3.59
32,9DTO6,1.17,1,2024-11-27,0,3.501,3.567,3.534
33,9DTO6,1.19,1,2024-11-27,0,3.88,3.954,3.917
34,9DTO6,1.12,1,2024-11-27,0,3.614,3.682,3.648
35,9DTO6,1.16,1,2024-11-27,0,3.461,3.526,3.493
36,9DTO6,1.19,1,2024-11-27,0,3.6,3.668,3.634
37,9DTO6,1.19,1,2024-11-27,0,3.36,3.424,3.392
38,9DTO6,1.19,1,2024-11-27,0,3.588,3.656,3.622
39,9DTO6,1.18,1,2024-11-27,0,3.62,3.688,3.654
40,9DTO6,1.2,1,2024-11-27,0,3.528,3.595,3.561
41,9DTO6,1.18,1,2024-11-27,0,3.531,3.598,3.565
42,9DTO6,1.17,1,2024-11-27,0,3.469,3.535,3.502
43,9DTO6,1.16,1,2024-11-27,0,3.534,3.6,3.567
44,9DTO6,1.18,1,2024-11-27,0,3.493,3.559,3.526
45,9DTO6,1.2,1,2024-11-27,0,3.536,3.603,3.569
46,9DTO6,1.17,1,2024-11-27,0,3.547,3.614,3.58
47,9DTO6,1.22,1,2024-11-27,0,3.37,3.434,3.402
48,9DTO6,1.18,1,2024-11-27,0,3.591,3.659,3.625
49,9DTO6,1.18,1,2024-11-27,0,3.542,3.609,3.575
