num,id,length,brood,date,code,perim,perim2,perim3
1,9JKMX,1.24,1,2024-11-22,0,3.632,3.7,3.666
2,9JKMX,1.2,1,2024-11-22,0,3.66,3.729,3.694
3,9JKMX,1.19,1,2024-11-22,0,3.864,3.937,3.9
4,9JKMX,1.23,1,2024-11-22,0,3.833,3.905,3.869
5,9JKMX,1.2,1,2024-11-22,0,3.72,3.79,3.755
6,9JKMX,1.23,1,2024-11-22,0,3.641,3.71,3.675
7,9JKMX,1.19,1,2024-11-22,0,3.782,3.854,3.818
8,9JKMX,1.21,1,2024-11-22,0,3.597,3.665,3.631
9,9JKMX,1.21,1,2024-11-22,0,3.647,3.716,3.682
10,9JKMX,1.22,1,2024-11-22,0,3.708,3.778,3.743
11,9JKMX,1.2,1,2024-11-22,0,3.707,3.777,3.741
12,9JKMX,1.21,1,2024-11-22,0,3.724,3.794,3.759
13,9JKMX,1.24,1,2024-11-22,0,3.702,3.772,3.737
14,9JKMX,1.23,1,2024-11-22,0,3.666,3.735,3.7
15,9JKMX,1.2,1,2024-11-22,0,3.877,3.951,3.914
16,9JKMX,1.22,1,2024-11-22,0,3.601,3.669,3.635
17,9JKMX,1.23,1,2024-11-22,0,3.626,3.695,3.66
18,9JKMX,1.21,1,2024-11-22,0,3.978,4.054,4.016
19,9JKMX,1.19,1,2024-11-22,0,3.822,3.894,3.858
20,9JKMX,1.18,1,2024-11-22,0,3.68,3.75,3.715
21,9JKMX,1.22,1,2024-11-22,0,3.633,3.702,3.667
22,9JKMX,1.21,1,2024-11-22,0,3.697,3.766,3.731
23,9JKMX,1.22,1,2024-11-22,0,3.783,3.854,3.818
24,9JKMX,1.21,1,2024-11-22,0,3.683,3.753,3.718
25,9JKMX,1.21,1,2024-11-22,0,3.766,3.837,3.801
26,9JKMX,1.21,1,2024-11-22,0,3.676,3.745,3.71
27,9JKMX,1.23,1,2024-11-22,0,3.9,3.973,3.936
28,9JKMX,1.23,1,2024-11-22,0,3.81,3.883,3.846
29,9JKMX,1.21,1,2024-11-22,0,3.621,3.69,3.655
30,9JKMX,1.22,1,2024-11-22,0,3.633,3.702,3.668
31,9JKMX,1.21,1,2024-11-22,0,3.707,3.777,3.742
32,9JKMX,1.23,1,2024-11-22,0,3.591,3.659,3.625
33,9JKMX,1.22,1,2024-11-22,0,3.642,3.711,3.677
34,9JKMX,1.24,1,2024-11-22,0,3.643,3.712,3.677
35,9JKMX,1.24,1,2024-11-22,0,3.795,3.867,3.831
36,9JKMX,1.22,1,2024-11-22,0,3.718,3.788,3.753
37,9JKMX,1.24,1,2024-11-22,0,3.772,3.843,3.807
38,9JKMX,1.23,1,2024-11-22,0,3.735,3.806,3.771
39,9JKMX,1.2,1,2024-11-22,0,3.876,3.95,3.913
40,9JKMX,1.21,1,2024-11-22,0,3.641,3.71,3.675
41,9JKMX,1.2,1,2024-11-22,0,3.709,3.779,3.744
42,9JKMX,1.25,1,2024-11-22,0,3.744,3.814,3.779
43,9JKMX,1.24,1,2024-11-22,0,3.952,4.027,3.989
44,9JKMX,1.25,1,2024-11-22,0,3.702,3.772,3.737
45,9JKMX,1.22,1,2024-11-22,0,3.703,3.773,3.738
46,9JKMX,1.23,1,2024-11-22,0,3.66,3.73,3.695
47,9JKMX,1.26,1,2024-11-22,0,3.708,3.778,3.743
48,9JKMX,1.25,1,2024-11-22,0,3.803,3.875,3.839
49,9JKMX,1.19,1,2024-11-22,0,3.697,3.766,3.731
50,9JKMX,1.24,1,2024-11-22,0,3.658,3.727,3.692
51,9JKMX,1.23,1,2024-11-22,0,3.637,3.706,3.672
52,9JKMX,1.21,1,2024-11-22,0,3.691,3.761,3.725
53,9JKMX,1.24,1,2024-11-22,0,3.65,3.719,3.684
54,9JKMX,1.22,1,2024-11-22,0,3.906,3.98,3.943
55,9JKMX,1.23,1,2024-11-22,0,3.682,3.751,3.716
