num,id,length,brood,date,code,perim,perim2,perim3
1,ASN86,1.17,1,2024-11-28,0,3.611,3.679,3.645
2,ASN86,1.15,1,2024-11-28,0,3.449,3.514,3.481
3,ASN86,1.14,1,2024-11-28,0,3.371,3.435,3.403
4,ASN86,1.16,1,2024-11-28,0,3.477,3.542,3.509
5,ASN86,1.16,1,2024-11-28,0,3.481,3.547,3.513
6,ASN86,0.89,1,2024-11-28,0,3.603,3.671,3.637
7,ASN86,1.13,1,2024-11-28,0,3.46,3.526,3.493
8,ASN86,1.15,1,2024-11-28,0,3.395,3.459,3.427
9,ASN86,1.13,1,2024-11-28,0,3.625,3.694,3.659
10,ASN86,1.17,1,2024-11-28,0,3.402,3.466,3.434
11,ASN86,1.2,1,2024-11-28,0,3.434,3.499,3.466
12,ASN86,1.18,1,2024-11-28,0,3.595,3.663,3.629
13,ASN86,1.21,1,2024-11-28,0,3.391,3.455,3.423
14,ASN86,1.15,1,2024-11-28,0,3.364,3.428,3.396
15,ASN86,1.14,1,2024-11-28,0,3.482,3.548,3.515
16,ASN86,1.16,1,2024-11-28,0,3.535,3.602,3.569
17,ASN86,1.22,1,2024-11-28,0,3.483,3.549,3.516
18,ASN86,1.17,1,2024-11-28,0,2.849,2.903,2.876
19,ASN86,1.22,1,2024-11-28,0,3.323,3.386,3.354
20,ASN86,1.15,1,2024-11-28,0,3.398,3.462,3.43
21,ASN86,1.15,1,2024-11-28,0,3.404,3.468,3.436
22,ASN86,1.16,1,2024-11-28,0,3.327,3.39,3.358
23,ASN86,1.2,1,2024-11-28,0,3.414,3.478,3.446
24,ASN86,1.22,1,2024-11-28,0,3.417,3.481,3.449
25,ASN86,1.17,1,2024-11-28,0,3.504,3.57,3.537
26,ASN86,1.14,1,2024-11-28,0,3.45,3.515,3.482
27,ASN86,1.18,1,2024-11-28,0,3.454,3.519,3.487
28,ASN86,1.19,1,2024-11-28,0,3.403,3.467,3.435
29,ASN86,1.23,1,2024-11-28,0,3.437,3.502,3.469
30,ASN86,1.18,1,2024-11-28,0,3.472,3.537,3.504
31,ASN86,1.16,1,2024-11-28,0,3.528,3.595,3.561
32,ASN86,1.21,1,2024-11-28,0,3.352,3.415,3.383
33,ASN86,1.18,1,2024-11-28,0,3.525,3.592,3.558
34,ASN86,1.18,1,2024-11-28,0,3.372,3.436,3.404
35,ASN86,1.19,1,2024-11-28,0,3.563,3.63,3.596
36,ASN86,1.16,1,2024-11-28,0,3.577,3.644,3.61
37,ASN86,1.19,1,2024-11-28,0,3.387,3.451,3.419
38,ASN86,1.16,1,2024-11-28,0,3.471,3.536,3.503
39,ASN86,1.19,1,2024-11-28,0,3.38,3.444,3.412
40,ASN86,1.12,1,2024-11-28,0,3.576,3.644,3.61
41,ASN86,1.19,1,2024-11-28,0,3.475,3.541,3.508
42,ASN86,1.14,1,2024-11-28,0,3.467,3.532,3.499
43,ASN86,1.16,1,2024-11-28,0,3.398,3.462,3.43
44,ASN86,1.22,1,2024-11-28,0,3.382,3.446,3.414
45,ASN86,1.19,1,2024-11-28,0,3.388,3.452,3.42
46,ASN86,1.15,1,2024-11-28,0,3.46,3.525,3.492
47,ASN86,1.18,1,2024-11-28,0,3.426,3.491,3.458
48,ASN86,1.2,1,2024-11-28,0,3.437,3.502,3.469
49,ASN86,1.18,1,2024-11-28,0,3.543,3.61,3.576
50,ASN86,1.2,1,2024-11-28,0,3.465,3.531,3.498
51,ASN86,1.15,1,2024-11-28,0,3.426,3.491,3.458
52,ASN86,1.19,1,2024-11-28,0,3.487,3.553,3.52
53,ASN86,1.15,1,2024-11-28,0,3.385,3.449,3.416
