num,id,length,brood,date,code,perim,perim2,perim3
1,B5MNL,1.09,2,2025-02-19,0,3.313,3.282,3.252
2,B5MNL,1.08,2,2025-02-19,0,3.204,3.174,3.145
3,B5MNL,1.11,2,2025-02-19,0,3.651,3.617,3.584
4,B5MNL,1.07,2,2025-02-19,0,3.305,3.274,3.244
5,B5MNL,1.12,2,2025-02-19,0,3.172,3.142,3.113
6,B5MNL,1.06,2,2025-02-19,0,3.3,3.269,3.238
7,B5MNL,0.95,2,2025-02-19,0,3.3,3.27,3.239
8,B5MNL,1.11,2,2025-02-19,0,3.263,3.233,3.203
9,B5MNL,1.05,2,2025-02-19,0,3.362,3.331,3.3
10,B5MNL,1.06,2,2025-02-19,0,3.237,3.207,3.177
11,B5MNL,1.07,2,2025-02-19,0,3.421,3.389,3.358
12,B5MNL,1.05,2,2025-02-19,0,3.32,3.289,3.259
13,B5MNL,1.11,2,2025-02-19,0,3.316,3.285,3.255
14,B5MNL,1.07,2,2025-02-19,0,3.322,3.291,3.26
15,B5MNL,1.12,2,2025-02-19,0,3.381,3.35,3.319
16,B5MNL,1.07,2,2025-02-19,0,3.433,3.401,3.369
17,B5MNL,0.94,2,2025-02-19,0,3.337,3.306,3.275
18,B5MNL,1.06,2,2025-02-19,0,3.317,3.286,3.256
19,B5MNL,1.04,2,2025-02-19,0,3.294,3.264,3.233
20,B5MNL,1.07,2,2025-02-19,0,3.321,3.29,3.26
21,B5MNL,1.05,2,2025-02-19,0,3.413,3.382,3.35
22,B5MNL,1.09,2,2025-02-19,0,2.815,2.789,2.763
23,B5MNL,1.1,2,2025-02-19,0,3.264,3.233,3.203
24,B5MNL,1.08,2,2025-02-19,0,3.233,3.203,3.173
25,B5MNL,1.09,2,2025-02-19,0,3.353,3.322,3.291
26,B5MNL,1.12,2,2025-02-19,0,3.495,3.463,3.431
27,B5MNL,1.05,2,2025-02-19,0,3.256,3.225,3.196
28,B5MNL,0.94,2,2025-02-19,0,3.353,3.322,3.291
29,B5MNL,1.14,2,2025-02-19,0,3.384,3.353,3.321
30,B5MNL,0.96,2,2025-02-19,0,2.91,2.883,2.856
31,B5MNL,1.03,2,2025-02-19,0,3.288,3.257,3.227
32,B5MNL,1.1,2,2025-02-19,0,3.341,3.31,3.28
33,B5MNL,1.1,2,2025-02-19,0,3.317,3.286,3.255
34,B5MNL,1.11,2,2025-02-19,0,3.213,3.183,3.153
35,B5MNL,1.07,2,2025-02-19,0,3.326,3.295,3.264
36,B5MNL,1.09,2,2025-02-19,0,3.213,3.183,3.153
37,B5MNL,1.08,2,2025-02-19,0,3.368,3.337,3.306
38,B5MNL,1.09,2,2025-02-19,0,3.411,3.379,3.348
39,B5MNL,1.1,2,2025-02-19,0,3.364,3.332,3.302
40,B5MNL,1.08,2,2025-02-19,0,3.545,3.512,3.479
41,B5MNL,1.1,2,2025-02-19,0,2.784,2.758,2.733
42,B5MNL,1.11,2,2025-02-19,0,3.322,3.291,3.26
43,B5MNL,1.09,2,2025-02-19,0,3.201,3.171,3.141
44,B5MNL,1.06,2,2025-02-19,0,3.569,3.536,3.503
45,B5MNL,1.03,2,2025-02-19,0,3.276,3.245,3.215
46,B5MNL,,2,2025-02-19,0,3.054,3.026,2.998
47,B5MNL,,2,2025-02-19,0,3.183,3.153,3.124
48,B5MNL,,2,2025-02-19,0,3.26,3.23,3.2
49,B5MNL,,2,2025-02-19,0,3.391,3.359,3.328
