num,id,length,brood,date,code,perim,perim2,perim3
1,BLD30,1.01,2,2025-01-03,0,3.216,3.276,3.246
2,BLD30,1.03,2,2025-01-03,0,3.315,3.378,3.346
3,BLD30,1.07,2,2025-01-03,0,3.211,3.272,3.241
4,BLD30,1.07,2,2025-01-03,0,3.202,3.262,3.232
5,BLD30,1.03,2,2025-01-03,0,3.255,3.316,3.285
6,BLD30,1.03,2,2025-01-03,0,3.357,3.421,3.389
7,BLD30,1.08,2,2025-01-03,0,3.337,3.4,3.368
8,BLD30,1.05,2,2025-01-03,0,3.292,3.354,3.322
9,BLD30,1.06,2,2025-01-03,0,3.276,3.338,3.307
10,BLD30,1.06,2,2025-01-03,0,3.255,3.316,3.285
11,BLD30,1.01,2,2025-01-03,0,3.329,3.392,3.36
12,BLD30,1.04,2,2025-01-03,0,3.352,3.415,3.383
13,BLD30,1.08,2,2025-01-03,0,3.277,3.339,3.308
14,BLD30,1.05,2,2025-01-03,0,3.291,3.353,3.322
15,BLD30,1.07,2,2025-01-03,0,3.346,3.409,3.378
16,BLD30,1.04,2,2025-01-03,0,3.416,3.481,3.448
17,BLD30,1.09,2,2025-01-03,0,3.372,3.436,3.404
18,BLD30,1.07,2,2025-01-03,0,3.336,3.399,3.368
19,BLD30,1.05,2,2025-01-03,0,3.292,3.354,3.323
20,BLD30,1.05,2,2025-01-03,0,3.438,3.503,3.471
21,BLD30,1.05,2,2025-01-03,0,3.522,3.588,3.555
22,BLD30,1.08,2,2025-01-03,0,3.455,3.521,3.488
23,BLD30,1.06,2,2025-01-03,0,3.33,3.393,3.362
24,BLD30,1.04,2,2025-01-03,0,3.161,3.22,3.19
25,BLD30,1.01,2,2025-01-03,0,3.39,3.454,3.422
26,BLD30,1.04,2,2025-01-03,0,3.283,3.345,3.313
27,BLD30,1.06,2,2025-01-03,0,3.481,3.547,3.514
28,BLD30,1,2,2025-01-03,0,3.218,3.279,3.248
29,BLD30,1.07,2,2025-01-03,0,3.366,3.429,3.397
30,BLD30,1.05,2,2025-01-03,0,3.4,3.464,3.432
31,BLD30,1.02,2,2025-01-03,0,3.52,3.586,3.553
32,BLD30,1.02,2,2025-01-03,0,3.289,3.351,3.32
33,BLD30,1.06,2,2025-01-03,0,3.344,3.407,3.375
34,BLD30,1.05,2,2025-01-03,0,3.262,3.324,3.292
35,BLD30,1.06,2,2025-01-03,0,3.304,3.367,3.335
36,BLD30,1.03,2,2025-01-03,0,3.168,3.228,3.197
37,BLD30,1.04,2,2025-01-03,0,3.342,3.405,3.373
38,BLD30,1.05,2,2025-01-03,0,3.251,3.312,3.281
39,BLD30,1.08,2,2025-01-03,0,3.29,3.352,3.321
40,BLD30,1.07,2,2025-01-03,0,3.316,3.379,3.347
41,BLD30,1.01,2,2025-01-03,0,3.353,3.416,3.384
42,BLD30,1.05,2,2025-01-03,0,3.15,3.21,3.18
43,BLD30,1.08,2,2025-01-03,0,3.483,3.548,3.515
44,BLD30,1.04,2,2025-01-03,0,3.278,3.34,3.309
45,BLD30,1.01,2,2025-01-03,0,3.389,3.453,3.421
46,BLD30,1.06,2,2025-01-03,0,3.309,3.372,3.34
47,BLD30,1.04,2,2025-01-03,0,3.295,3.357,3.326
48,BLD30,1.06,2,2025-01-03,0,3.31,3.373,3.341
49,BLD30,1.05,2,2025-01-03,0,3.53,3.596,3.563
50,BLD30,1.06,2,2025-01-03,0,3.334,3.397,3.365
51,BLD30,1.06,2,2025-01-03,0,3.251,3.313,3.282
52,BLD30,1.06,2,2025-01-03,0,3.46,3.525,3.492
53,BLD30,1.08,2,2025-01-03,0,3.238,3.3,3.269
54,BLD30,1.05,2,2025-01-03,0,3.161,3.221,3.191
55,BLD30,1.04,2,2025-01-03,0,3.515,3.581,3.548
56,BLD30,1.05,2,2025-01-03,0,3.436,3.501,3.468
57,BLD30,1.03,2,2025-01-03,0,3.333,3.397,3.365
58,BLD30,1.05,2,2025-01-03,0,3.318,3.381,3.349
59,BLD30,1.08,2,2025-01-03,0,3.416,3.481,3.448
60,BLD30,1.02,2,2025-01-03,0,3.289,3.351,3.32
61,BLD30,1.07,2,2025-01-03,0,3.349,3.413,3.381
62,BLD30,1.05,2,2025-01-03,0,3.276,3.338,3.307
63,BLD30,1.03,2,2025-01-03,0,3.184,3.244,3.214
64,BLD30,1.06,2,2025-01-03,0,3.248,3.31,3.279
65,BLD30,1.04,2,2025-01-03,0,3.301,3.364,3.332
66,BLD30,1.07,2,2025-01-03,0,3.18,3.24,3.21
67,BLD30,1.04,2,2025-01-03,0,3.223,3.284,3.254
68,BLD30,1.08,2,2025-01-03,0,3.172,3.232,3.202
69,BLD30,1.07,2,2025-01-03,1,3.041,3.098,3.069
