num,id,length,brood,date,code,perim,perim2,perim3
1,CAJR1,1.15,2,2025-02-26,0,3.244,3.305,3.274
2,CAJR1,1.07,2,2025-02-26,0,3.136,3.195,3.165
3,CAJR1,1.16,2,2025-02-26,0,3.333,3.397,3.365
4,CAJR1,1.15,2,2025-02-26,0,3.308,3.371,3.339
5,CAJR1,1.11,2,2025-02-26,0,3.506,3.573,3.539
6,CAJR1,1.14,2,2025-02-26,0,3.359,3.423,3.391
7,CAJR1,1.13,2,2025-02-26,0,3.455,3.521,3.488
8,CAJR1,1.05,2,2025-02-26,0,3.193,3.253,3.223
9,CAJR1,1.15,2,2025-02-26,0,3.426,3.49,3.458
10,CAJR1,1.01,2,2025-02-26,0,3.63,3.698,3.664
11,CAJR1,1.08,2,2025-02-26,0,3.246,3.307,3.276
12,CAJR1,1.12,2,2025-02-26,0,3.264,3.325,3.294
13,CAJR1,1.18,2,2025-02-26,1,3.595,3.663,3.629
14,CAJR1,1.14,2,2025-02-26,1,3.795,3.867,3.831
15,CAJR1,1.16,2,2025-02-26,1,3.646,3.715,3.68
16,CAJR1,1.14,2,2025-02-26,1,3.633,3.702,3.667
17,CAJR1,1.18,2,2025-02-26,1,3.824,3.896,3.859
18,CAJR1,1.13,2,2025-02-26,1,3.798,3.87,3.833
19,CAJR1,1.11,2,2025-02-26,1,3.364,3.427,3.395
20,CAJR1,1.16,2,2025-02-26,1,3.871,3.944,3.907
21,CAJR1,1.21,2,2025-02-26,1,3.453,3.518,3.486
22,CAJR1,1.03,2,2025-02-26,1,3.645,3.714,3.679
23,CAJR1,1.13,2,2025-02-26,1,3.375,3.438,3.406
24,CAJR1,1.15,2,2025-02-26,1,3.702,3.772,3.737
25,CAJR1,1.1,2,2025-02-26,1,3.706,3.777,3.741
26,CAJR1,1.13,2,2025-02-26,1,3.492,3.559,3.525
27,CAJR1,1.13,2,2025-02-26,1,3.547,3.614,3.58
28,CAJR1,1.13,2,2025-02-26,1,3.703,3.773,3.738
29,CAJR1,1.14,2,2025-02-26,1,3.452,3.517,3.484
30,CAJR1,1.15,2,2025-02-26,1,3.382,3.446,3.414
31,CAJR1,1.1,2,2025-02-26,1,3.442,3.507,3.475
32,CAJR1,1.14,2,2025-02-26,1,3.414,3.479,3.446
33,CAJR1,1.15,2,2025-02-26,1,3.401,3.466,3.433
34,CAJR1,1.08,2,2025-02-26,1,3.31,3.373,3.342
35,CAJR1,1.06,2,2025-02-26,1,3.504,3.571,3.537
36,CAJR1,1.2,2,2025-02-26,1,3.443,3.508,3.475
37,CAJR1,1.15,2,2025-02-26,1,3.497,3.563,3.53
