num,id,length,brood,date,code,perim,perim2,perim3
1,CPM1J,1.23,1,2024-11-14,0,3.449,3.462,3.474
2,CPM1J,1.21,1,2024-11-14,0,3.476,3.489,3.502
3,CPM1J,1.2,1,2024-11-14,0,3.453,3.465,3.478
4,CPM1J,1.18,1,2024-11-14,0,3.468,3.48,3.493
5,CPM1J,1.19,1,2024-11-14,0,3.384,3.396,3.409
6,CPM1J,1.15,1,2024-11-14,0,3.481,3.494,3.507
7,CPM1J,1.19,1,2024-11-14,0,3.477,3.489,3.502
8,CPM1J,1.18,1,2024-11-14,0,3.495,3.508,3.521
9,CPM1J,1.19,1,2024-11-14,0,3.526,3.539,3.552
10,CPM1J,1.2,1,2024-11-14,0,3.541,3.554,3.567
11,CPM1J,1.21,1,2024-11-14,0,3.457,3.47,3.483
12,CPM1J,1.25,1,2024-11-14,0,3.429,3.442,3.455
13,CPM1J,1.21,1,2024-11-14,0,3.431,3.444,3.456
14,CPM1J,1.22,1,2024-11-14,0,3.41,3.422,3.435
15,CPM1J,1.17,1,2024-11-14,0,3.578,3.592,3.605
16,CPM1J,1.19,1,2024-11-14,0,3.455,3.468,3.481
17,CPM1J,1.2,1,2024-11-14,0,3.494,3.506,3.519
18,CPM1J,1.17,1,2024-11-14,0,3.485,3.498,3.51
19,CPM1J,1.22,1,2024-11-14,0,3.468,3.48,3.493
20,CPM1J,1.19,1,2024-11-14,0,3.503,3.515,3.528
21,CPM1J,1.19,1,2024-11-14,0,3.509,3.522,3.535
22,CPM1J,1.16,1,2024-11-14,0,3.52,3.532,3.546
23,CPM1J,1.18,1,2024-11-14,0,3.44,3.453,3.465
24,CPM1J,1.2,1,2024-11-14,0,3.506,3.519,3.532
25,CPM1J,1.22,1,2024-11-14,0,3.524,3.537,3.55
26,CPM1J,1.23,1,2024-11-14,0,3.457,3.47,3.483
27,CPM1J,1.2,1,2024-11-14,0,3.468,3.48,3.493
28,CPM1J,1.19,1,2024-11-14,0,3.457,3.47,3.483
29,CPM1J,1.19,1,2024-11-14,0,3.472,3.485,3.498
30,CPM1J,1.21,1,2024-11-14,0,3.504,3.517,3.53
31,CPM1J,1.2,1,2024-11-14,0,3.652,3.665,3.679
32,CPM1J,1.22,1,2024-11-14,0,3.414,3.427,3.439
33,CPM1J,1.21,1,2024-11-14,0,3.47,3.483,3.496
34,CPM1J,1.19,1,2024-11-14,0,3.544,3.557,3.57
35,CPM1J,1.11,1,2024-11-14,0,3.837,3.851,3.865
36,CPM1J,1.25,1,2024-11-14,0,3.444,3.457,3.47
37,CPM1J,1.18,1,2024-11-14,0,3.364,3.376,3.389
38,CPM1J,1.21,1,2024-11-14,0,3.431,3.444,3.456
39,CPM1J,1.23,1,2024-11-14,0,3.541,3.554,3.567
40,CPM1J,1.2,1,2024-11-14,0,3.537,3.55,3.563
