num,id,length,brood,date,code,perim,perim2,perim3
1,F5871,1.08,1,2024-11-26,0,3.252,3.314,3.283
2,F5871,1.14,1,2024-11-26,0,3.275,3.337,3.306
3,F5871,1.11,1,2024-11-26,0,3.296,3.358,3.327
4,F5871,1.13,1,2024-11-26,0,3.273,3.335,3.304
5,F5871,0.9,1,2024-11-26,0,3.324,3.387,3.356
6,F5871,1.04,1,2024-11-26,0,3.228,3.289,3.259
7,F5871,1.12,1,2024-11-26,0,3.333,3.396,3.364
8,F5871,1.08,1,2024-11-26,0,3.374,3.437,3.405
9,F5871,1.07,1,2024-11-26,0,3.463,3.529,3.496
10,F5871,0.98,1,2024-11-26,0,3.353,3.417,3.385
11,F5871,0.87,1,2024-11-26,0,3.292,3.354,3.323
12,F5871,0.99,1,2024-11-26,0,3.357,3.421,3.389
13,F5871,0.92,1,2024-11-26,0,3.27,3.332,3.301
14,F5871,1.1,1,2024-11-26,0,3.411,3.475,3.443
15,F5871,0.99,1,2024-11-26,0,3.342,3.405,3.373
16,F5871,1.09,1,2024-11-26,0,3.326,3.389,3.358
17,F5871,1.12,1,2024-11-26,0,3.354,3.417,3.385
18,F5871,1.11,1,2024-11-26,0,3.324,3.386,3.355
19,F5871,1.1,1,2024-11-26,0,3.31,3.373,3.341
20,F5871,1.11,1,2024-11-26,0,3.344,3.407,3.375
21,F5871,1.12,1,2024-11-26,0,3.222,3.283,3.252
22,F5871,1.12,1,2024-11-26,0,3.36,3.424,3.392
23,F5871,1.11,1,2024-11-26,0,3.529,3.596,3.562
24,F5871,1.11,1,2024-11-26,0,3.55,3.617,3.584
25,F5871,1.1,1,2024-11-26,0,3.483,3.548,3.515
26,F5871,1.12,1,2024-11-26,0,3.369,3.433,3.401
27,F5871,1.1,1,2024-11-26,0,3.607,3.675,3.641
28,F5871,1.03,1,2024-11-26,0,3.296,3.358,3.327
29,F5871,1.12,1,2024-11-26,0,3.337,3.4,3.369
30,F5871,0.82,1,2024-11-26,0,3.174,3.234,3.204
31,F5871,1.04,1,2024-11-26,0,3.136,3.195,3.165
32,F5871,1.05,1,2024-11-26,0,3.261,3.323,3.292
33,F5871,1.12,1,2024-11-26,0,3.304,3.367,3.335
34,F5871,1.12,1,2024-11-26,0,3.03,3.087,3.058
35,F5871,1,1,2024-11-26,0,3.313,3.375,3.344
36,F5871,1.12,1,2024-11-26,0,3.307,3.369,3.338
37,F5871,1.05,1,2024-11-26,0,3.359,3.423,3.391
38,F5871,1.1,1,2024-11-26,0,3.232,3.293,3.262
39,F5871,1.12,1,2024-11-26,0,3.237,3.299,3.268
40,F5871,1.07,1,2024-11-26,0,3.355,3.418,3.386
41,F5871,1.09,1,2024-11-26,0,3.347,3.41,3.379
42,F5871,1.08,1,2024-11-26,0,3.344,3.408,3.376
43,F5871,1.08,1,2024-11-26,0,3.189,3.249,3.219
44,F5871,1.15,1,2024-11-26,0,2.899,2.954,2.926
45,F5871,1.12,1,2024-11-26,0,3.34,3.404,3.372
46,F5871,1.12,1,2024-11-26,0,2.978,3.034,3.006
47,F5871,1.15,1,2024-11-26,0,3.561,3.628,3.594
48,F5871,1.13,1,2024-11-26,0,3.396,3.461,3.428
49,F5871,1.11,1,2024-11-26,0,3.323,3.386,3.354
50,F5871,1.14,1,2024-11-26,0,3.38,3.444,3.412
51,F5871,1.03,1,2024-11-26,0,3.353,3.416,3.384
52,F5871,1.01,1,2024-11-26,0,2.97,3.026,2.998
53,F5871,1.13,1,2024-11-26,0,3.27,3.332,3.301
54,F5871,1.12,1,2024-11-26,0,3.093,3.151,3.122
55,F5871,1.13,1,2024-11-26,0,2.811,2.864,2.837
56,F5871,1.14,1,2024-11-26,0,3.063,3.121,3.091
57,F5871,1.13,1,2024-11-26,0,3.36,3.424,3.392
58,F5871,1.08,1,2024-11-26,0,3.397,3.461,3.429
59,F5871,1.11,1,2024-11-26,0,3.148,3.208,3.178
60,F5871,1.14,1,2024-11-26,0,3.314,3.377,3.345
61,F5871,1.11,1,2024-11-26,0,3.46,3.525,3.492
62,F5871,0.97,1,2024-11-26,0,3.344,3.407,3.375
63,F5871,1.1,1,2024-11-26,0,3.37,3.433,3.401
64,F5871,1.12,1,2024-11-26,0,3.312,3.375,3.343
65,F5871,1.09,1,2024-11-26,0,3.351,3.414,3.382
66,F5871,1.01,1,2024-11-26,0,3.146,3.205,3.175
67,F5871,1.14,1,2024-11-26,0,3.266,3.328,3.297
68,F5871,1.13,1,2024-11-26,0,3.416,3.48,3.448
69,F5871,1.1,1,2024-11-26,0,3.36,3.424,3.392
70,F5871,1.12,1,2024-11-26,0,3.339,3.402,3.37
71,F5871,1.15,1,2024-11-26,0,3.364,3.427,3.395
72,F5871,1.07,1,2024-11-26,0,3.221,3.282,3.251
73,F5871,1.13,1,2024-11-26,0,2.928,2.984,2.956
74,F5871,1.13,1,2024-11-26,0,3.375,3.438,3.406
75,F5871,1.13,1,2024-11-26,0,3.356,3.419,3.387
76,F5871,1.14,1,2024-11-26,0,3.27,3.332,3.301
77,F5871,1.04,1,2024-11-26,0,3.194,3.254,3.224
78,F5871,1.13,1,2024-11-26,0,3.337,3.4,3.369
79,F5871,1.12,1,2024-11-26,0,3.352,3.415,3.383
80,F5871,1.13,1,2024-11-26,0,3.39,3.454,3.421
