num,id,length,brood,date,code,perim,perim2,perim3
1,FY4I5,1.11,1,2024-10-29,0,3.198,3.21,3.222
2,FY4I5,1.03,1,2024-10-29,0,3.254,3.266,3.278
3,FY4I5,1,1,2024-10-29,0,3.175,3.186,3.198
4,FY4I5,1.1,1,2024-10-29,0,3.129,3.141,3.152
5,FY4I5,1.04,1,2024-10-29,0,2.737,2.747,2.757
6,FY4I5,0.92,1,2024-10-29,0,3.185,3.197,3.209
7,FY4I5,1.09,1,2024-10-29,0,3.181,3.193,3.204
8,FY4I5,1.09,1,2024-10-29,0,3.114,3.125,3.137
9,FY4I5,1.12,1,2024-10-29,0,3.248,3.26,3.272
10,FY4I5,1.08,1,2024-10-29,0,3.224,3.236,3.248
11,FY4I5,1.13,1,2024-10-29,0,3.134,3.145,3.157
12,FY4I5,1.11,1,2024-10-29,0,3.187,3.199,3.211
13,FY4I5,1.07,1,2024-10-29,0,2.993,3.004,3.015
14,FY4I5,1.09,1,2024-10-29,0,3.237,3.249,3.261
15,FY4I5,1.12,1,2024-10-29,0,3.181,3.193,3.204
16,FY4I5,1.07,1,2024-10-29,0,3.228,3.24,3.252
17,FY4I5,1.01,1,2024-10-29,0,3.233,3.245,3.257
18,FY4I5,1.09,1,2024-10-29,0,3.209,3.22,3.232
19,FY4I5,1.06,1,2024-10-29,0,3.201,3.212,3.224
20,FY4I5,1.12,1,2024-10-29,0,3.28,3.292,3.304
21,FY4I5,1.1,1,2024-10-29,0,3.067,3.078,3.089
22,FY4I5,0.82,1,2024-10-29,0,3.077,3.089,3.1
23,FY4I5,1.04,1,2024-10-29,0,2.963,2.974,2.985
24,FY4I5,1.08,1,2024-10-29,0,3.222,3.234,3.246
25,FY4I5,1.08,1,2024-10-29,0,2.957,2.968,2.979
26,FY4I5,1.08,1,2024-10-29,0,3.118,3.13,3.141
27,FY4I5,1.09,1,2024-10-29,0,2.78,2.79,2.8
28,FY4I5,1.12,1,2024-10-29,0,3.216,3.228,3.239
29,FY4I5,1.11,1,2024-10-29,0,3.201,3.212,3.224
30,FY4I5,1.06,1,2024-10-29,0,3.222,3.234,3.246
31,FY4I5,1.09,1,2024-10-29,0,3.28,3.292,3.304
32,FY4I5,1.07,1,2024-10-29,0,3.06,3.072,3.083
33,FY4I5,1.1,1,2024-10-29,0,3.112,3.124,3.135
34,FY4I5,1.08,1,2024-10-29,0,2.905,2.916,2.926
35,FY4I5,1.08,1,2024-10-29,0,3.185,3.197,3.209
36,FY4I5,1.08,1,2024-10-29,0,3.244,3.255,3.267
37,FY4I5,1.03,1,2024-10-29,0,3.202,3.214,3.226
38,FY4I5,1.02,1,2024-10-29,0,3.218,3.229,3.241
39,FY4I5,1.01,1,2024-10-29,0,3.352,3.364,3.376
40,FY4I5,1.03,1,2024-10-29,0,3.261,3.272,3.285
41,FY4I5,1.04,1,2024-10-29,0,3.134,3.145,3.157
42,FY4I5,1,1,2024-10-29,0,3.31,3.323,3.335
43,FY4I5,1.07,1,2024-10-29,0,3.123,3.134,3.146
44,FY4I5,1.05,1,2024-10-29,0,3.278,3.29,3.302
45,FY4I5,1.12,1,2024-10-29,0,3.082,3.093,3.105
46,FY4I5,1.09,1,2024-10-29,0,3.166,3.177,3.189
47,FY4I5,1.02,1,2024-10-29,0,3.026,3.037,3.048
48,FY4I5,1.09,1,2024-10-29,0,3.352,3.364,3.376
49,FY4I5,1.01,1,2024-10-29,0,3.196,3.193,3.22
50,FY4I5,0.98,1,2024-10-29,0,3.155,3.167,3.178
51,FY4I5,1.05,1,2024-10-29,0,3.252,3.264,3.276
52,FY4I5,0.94,1,2024-10-29,0,3.285,3.297,3.309
53,FY4I5,1.06,1,2024-10-29,0,3.05,3.061,3.072
54,FY4I5,1.11,1,2024-10-29,0,3.129,3.141,3.152
55,FY4I5,0.86,1,2024-10-29,0,3.252,3.264,3.276
56,FY4I5,0.91,1,2024-10-29,0,3.259,3.271,3.283
57,FY4I5,1.01,1,2024-10-29,0,3.245,3.257,3.269
58,FY4I5,0.97,1,2024-10-29,0,3.17,3.182,3.194
59,FY4I5,1.07,1,2024-10-29,0,3.112,3.124,3.135
60,FY4I5,0.97,1,2024-10-29,0,3.207,3.219,3.231
