num,id,length,brood,date,code,perim,perim2,perim3
1,GOMPR,1.27,1,2024-11-22,0,3.725,3.795,3.76
2,GOMPR,1.31,1,2024-11-22,0,3.637,3.706,3.671
3,GOMPR,1.29,1,2024-11-22,0,3.697,3.767,3.732
4,GOMPR,1.34,1,2024-11-22,0,3.722,3.793,3.757
5,GOMPR,1.31,1,2024-11-22,0,3.797,3.869,3.833
6,GOMPR,1.33,1,2024-11-22,0,3.948,4.022,3.985
7,GOMPR,1.2,1,2024-11-22,0,3.737,3.807,3.772
8,GOMPR,1.26,1,2024-11-22,0,3.345,3.409,3.377
9,GOMPR,1.24,1,2024-11-22,0,3.721,3.791,3.756
10,GOMPR,1.14,1,2024-11-22,0,3.91,3.984,3.946
11,GOMPR,1.32,1,2024-11-22,0,3.652,3.721,3.686
12,GOMPR,1.32,1,2024-11-22,0,3.751,3.822,3.787
13,GOMPR,1.28,1,2024-11-22,0,3.683,3.753,3.718
14,GOMPR,1.28,1,2024-11-22,0,3.613,3.681,3.646
15,GOMPR,1.27,1,2024-11-22,0,3.866,3.939,3.902
16,GOMPR,1.31,1,2024-11-22,0,3.841,3.913,3.877
17,GOMPR,1.19,1,2024-11-22,0,3.609,3.678,3.643
18,GOMPR,1.3,1,2024-11-22,0,3.653,3.722,3.687
19,GOMPR,1.23,1,2024-11-22,0,3.605,3.673,3.639
20,GOMPR,1.18,1,2024-11-22,0,3.528,3.595,3.561
21,GOMPR,1.31,1,2024-11-22,0,4.028,4.104,4.065
22,GOMPR,1.31,1,2024-11-22,0,3.476,3.542,3.509
23,GOMPR,1.29,1,2024-11-22,0,3.736,3.806,3.771
24,GOMPR,1.29,1,2024-11-22,0,3.892,3.966,3.929
25,GOMPR,1.3,1,2024-11-22,0,3.907,3.981,3.944
26,GOMPR,1.28,1,2024-11-22,0,3.699,3.769,3.734
27,GOMPR,1.27,1,2024-11-22,0,3.87,3.944,3.907
28,GOMPR,1.36,1,2024-11-22,0,3.787,3.858,3.822
29,GOMPR,1.18,1,2024-11-22,0,3.673,3.742,3.707
30,GOMPR,1.27,1,2024-11-22,0,3.583,3.651,3.617
31,GOMPR,1.28,1,2024-11-22,0,3.708,3.778,3.742
32,GOMPR,1.24,1,2024-11-22,0,3.791,3.862,3.826
33,GOMPR,1.24,1,2024-11-22,0,3.82,3.893,3.856
34,GOMPR,1.3,1,2024-11-22,0,3.616,3.684,3.65
35,GOMPR,1.21,1,2024-11-22,0,3.862,3.935,3.899
36,GOMPR,1.31,1,2024-11-22,0,3.956,4.031,3.993
37,GOMPR,1.29,1,2024-11-22,0,3.642,3.711,3.676
38,GOMPR,1.26,1,2024-11-22,0,3.587,3.655,3.621
39,GOMPR,1.28,1,2024-11-22,0,3.893,3.967,3.93
40,GOMPR,1.26,1,2024-11-22,0,3.394,3.458,3.426
41,GOMPR,1.27,1,2024-11-22,0,3.914,3.988,3.951
42,GOMPR,1.31,1,2024-11-22,0,3.497,3.576,3.543
43,GOMPR,1.34,1,2024-11-22,0,4.029,4.105,4.067
44,GOMPR,1.22,1,2024-11-22,0,3.615,3.683,3.649
45,GOMPR,1.26,1,2024-11-22,0,3.623,3.691,3.683
46,GOMPR,1.27,1,2024-11-22,0,3.767,3.692,3.657
47,GOMPR,1.2,1,2024-11-22,0,3.694,3.838,3.802
48,GOMPR,1.26,1,2024-11-22,0,3.592,3.764,3.729
49,GOMPR,1.25,1,2024-11-22,0,3.51,3.652,3.618
50,GOMPR,1.29,1,2024-11-22,0,3.958,3.577,3.543
51,GOMPR,1.27,1,2024-11-22,0,3.683,4.033,3.995
52,GOMPR,1.32,1,2024-11-22,0,3.564,3.752,3.717
53,GOMPR,1.22,1,2024-11-22,0,3.718,3.631,3.597
54,GOMPR,1.29,1,2024-11-22,0,3.473,3.789,3.753
55,GOMPR,1.27,1,2024-11-22,0,3.641,3.539,3.506
56,GOMPR,1.3,1,2024-11-22,0,3.635,3.71,3.675
57,GOMPR,1.3,1,2024-11-22,0,3.635,3.704,3.669
