num,id,length,brood,date,code,perim,perim2,perim3
1,GS89R,1.04,2,2025-01-24,0,3.228,3.289,3.259
2,GS89R,1.07,2,2025-01-24,0,3.13,3.189,3.159
3,GS89R,1.09,2,2025-01-24,0,3.308,3.37,3.339
4,GS89R,1.08,2,2025-01-24,0,3.244,3.305,3.274
5,GS89R,1.06,2,2025-01-24,0,3.16,3.219,3.189
6,GS89R,1.08,2,2025-01-24,0,3.126,3.185,3.156
7,GS89R,1.09,2,2025-01-24,0,3.19,3.25,3.22
8,GS89R,1.03,2,2025-01-24,0,3.158,3.218,3.187
9,GS89R,1.08,2,2025-01-24,0,3.196,3.256,3.226
10,GS89R,1.07,2,2025-01-24,0,3.338,3.401,3.369
11,GS89R,1.07,2,2025-01-24,0,3.181,3.242,3.211
12,GS89R,1.1,2,2025-01-24,0,3.18,3.24,3.209
13,GS89R,1.05,2,2025-01-24,0,3.198,3.259,3.228
14,GS89R,1.07,2,2025-01-24,0,3.066,3.124,3.095
15,GS89R,1.13,2,2025-01-24,0,3.018,3.075,3.046
16,GS89R,1.05,2,2025-01-24,0,3.232,3.293,3.262
17,GS89R,1.06,2,2025-01-24,0,3.237,3.298,3.267
18,GS89R,1.06,2,2025-01-24,0,3.127,3.186,3.157
19,GS89R,1.12,2,2025-01-24,0,3.21,3.271,3.24
20,GS89R,1.11,2,2025-01-24,0,3.159,3.219,3.188
21,GS89R,1.11,2,2025-01-24,0,3.209,3.27,3.239
22,GS89R,1.1,2,2025-01-24,0,3.211,3.272,3.241
23,GS89R,1.08,2,2025-01-24,0,3.122,3.181,3.151
24,GS89R,1.09,2,2025-01-24,0,3.119,3.178,3.148
25,GS89R,1.06,2,2025-01-24,0,3.214,3.275,3.244
26,GS89R,1.1,2,2025-01-24,0,3.143,3.203,3.173
27,GS89R,1.04,2,2025-01-24,0,3.156,3.215,3.185
28,GS89R,1.09,2,2025-01-24,0,3.136,3.195,3.165
29,GS89R,1.11,2,2025-01-24,0,3.254,3.315,3.284
30,GS89R,1.07,2,2025-01-24,0,3.153,3.213,3.183
31,GS89R,1.08,2,2025-01-24,0,3.196,3.256,3.226
32,GS89R,1.05,2,2025-01-24,0,3.171,3.231,3.201
33,GS89R,1.08,2,2025-01-24,0,3.161,3.221,3.191
34,GS89R,1.09,2,2025-01-24,0,3.2,3.261,3.23
35,GS89R,1.06,2,2025-01-24,0,3.072,3.13,3.101
36,GS89R,1.1,2,2025-01-24,0,3.28,3.342,3.311
37,GS89R,1.05,2,2025-01-24,0,3.112,3.171,3.141
38,GS89R,1.05,2,2025-01-24,1,3.259,3.321,3.358
