num,id,length,brood,date,code,perim,perim2,perim3
1,GU238,1.27,2,2025-02-05,0,3.999,4.074,3.737
2,GU238,1.28,2,2025-02-05,0,3.899,3.973,4.036
3,GU238,1.32,2,2025-02-05,0,3.817,3.889,3.936
4,GU238,1.11,2,2025-02-05,0,3.869,3.942,3.853
5,GU238,1.19,2,2025-02-05,0,3.765,3.836,3.905
6,GU238,1.38,2,2025-02-05,0,3.901,3.975,3.801
7,GU238,1.31,2,2025-02-05,0,3.444,3.509,3.938
8,GU238,1.37,2,2025-02-05,0,3.758,3.829,3.477
9,GU238,1.3,2,2025-02-05,0,3.268,3.33,3.793
10,GU238,1.25,2,2025-02-05,0,3.674,3.772,3.299
11,GU238,1.23,2,2025-02-05,1,4.09,4.168,4.129
12,GU238,1.23,2,2025-02-05,1,3.693,3.763,3.728
13,GU238,1.26,2,2025-02-05,1,3.795,3.866,3.83
14,GU238,1.2,2,2025-02-05,1,3.437,3.502,3.469
15,GU238,1.37,2,2025-02-05,1,3.827,3.9,3.863
16,GU238,1.23,2,2025-02-05,1,3.91,3.984,3.947
17,GU238,1.27,2,2025-02-05,1,3.807,3.879,3.843
18,GU238,1.43,2,2025-02-05,1,3.859,3.932,3.895
19,GU238,1.23,2,2025-02-05,1,3.567,3.635,3.601
20,GU238,1.3,2,2025-02-05,1,3.842,3.915,3.879
21,GU238,1.31,2,2025-02-05,1,3.732,3.803,3.767
22,GU238,1.29,2,2025-02-05,1,3.653,3.722,3.687
23,GU238,1.33,2,2025-02-05,1,3.963,4.038,4
24,GU238,1.33,2,2025-02-05,1,3.958,4.032,3.995
25,GU238,1.31,2,2025-02-05,1,3.796,3.868,3.832
26,GU238,1.34,2,2025-02-05,1,3.439,3.504,3.471
27,GU238,1.18,2,2025-02-05,1,3.748,3.819,3.783
28,GU238,1.25,2,2025-02-05,1,3.665,3.735,3.7
29,GU238,1.29,2,2025-02-05,1,3.641,3.71,3.675
30,GU238,1.27,2,2025-02-05,1,3.593,3.661,3.626
