num,id,length,brood,date,code,perim,perim2,perim3
1,HMX5M,1.1,1,2024-12-09,0,3.422,3.486,3.454
2,HMX5M,1.07,1,2024-12-09,0,3.316,3.379,3.347
3,HMX5M,1.1,1,2024-12-09,0,3.427,3.492,3.459
4,HMX5M,1.13,1,2024-12-09,0,3.343,3.406,3.374
5,HMX5M,1.08,1,2024-12-09,0,3.232,3.293,3.262
6,HMX5M,1.08,1,2024-12-09,0,2.942,2.997,2.969
7,HMX5M,1.08,1,2024-12-09,0,3.278,3.34,3.309
8,HMX5M,1.1,1,2024-12-09,0,3.46,3.526,3.493
9,HMX5M,1.06,1,2024-12-09,0,3.284,3.346,3.315
10,HMX5M,1.11,1,2024-12-09,0,3.421,3.486,3.453
11,HMX5M,1.09,1,2024-12-09,0,3.547,3.614,3.58
12,HMX5M,0.85,1,2024-12-09,0,3.32,3.383,3.351
13,HMX5M,0.92,1,2024-12-09,0,3.453,3.518,3.486
14,HMX5M,1.11,1,2024-12-09,0,2.985,3.042,3.013
15,HMX5M,0.96,1,2024-12-09,0,3.352,3.415,3.383
16,HMX5M,1.07,1,2024-12-09,0,3.203,3.264,3.233
17,HMX5M,1.08,1,2024-12-09,0,2.696,2.747,2.722
18,HMX5M,1.12,1,2024-12-09,0,3.321,3.384,3.353
19,HMX5M,1.12,1,2024-12-09,0,3.354,3.417,3.385
20,HMX5M,1.15,1,2024-12-09,0,3.44,3.505,3.472
21,HMX5M,1.1,1,2024-12-09,0,3.338,3.401,3.369
