num,id,length,brood,date,code,perim,perim2,perim3
1,IU3CX,1.09,2,2025-01-28,0,3.121,3.18,3.15
2,IU3CX,1.05,2,2025-01-28,0,3.072,3.13,3.1
3,IU3CX,1.06,2,2025-01-28,0,3.319,3.382,3.35
4,IU3CX,1.12,2,2025-01-28,0,3.388,3.452,3.42
5,IU3CX,1.11,2,2025-01-28,0,3.226,3.287,3.256
6,IU3CX,1.06,2,2025-01-28,0,3.448,3.513,3.48
7,IU3CX,1.01,2,2025-01-28,0,3.288,3.35,3.319
8,IU3CX,0.97,2,2025-01-28,0,3.127,3.186,3.156
9,IU3CX,1.08,2,2025-01-28,0,3.172,3.232,3.202
10,IU3CX,1.05,2,2025-01-28,0,3.26,3.322,3.291
11,IU3CX,1.12,2,2025-01-28,0,3.321,3.384,3.353
12,IU3CX,1.07,2,2025-01-28,0,3.367,3.431,3.399
13,IU3CX,1.08,2,2025-01-28,0,3.166,3.226,3.196
14,IU3CX,1.11,2,2025-01-28,0,3.244,3.305,3.274
15,IU3CX,1.1,2,2025-01-28,0,3.184,3.244,3.214
16,IU3CX,0.93,2,2025-01-28,0,3.298,3.361,3.329
17,IU3CX,1.05,2,2025-01-28,0,3.063,3.121,3.092
18,IU3CX,1.13,2,2025-01-28,0,3.118,3.177,3.147
19,IU3CX,1.05,2,2025-01-28,0,3.091,3.15,3.12
20,IU3CX,0.94,2,2025-01-28,0,3.187,3.247,3.217
21,IU3CX,1.04,2,2025-01-28,0,2.994,3.051,3.022
22,IU3CX,0.96,2,2025-01-28,0,3.133,3.192,3.162
23,IU3CX,1.02,2,2025-01-28,0,3.247,3.309,3.278
24,IU3CX,1.14,2,2025-01-28,0,3.293,3.355,3.324
25,IU3CX,1.07,2,2025-01-28,0,3.301,3.363,3.332
26,IU3CX,1.11,2,2025-01-28,0,3.436,3.501,3.468
27,IU3CX,1.03,2,2025-01-28,0,3.403,3.467,3.435
28,IU3CX,1.03,2,2025-01-28,0,3.204,3.265,3.234
29,IU3CX,1,2,2025-01-28,0,3.172,3.232,3.202
30,IU3CX,1.03,2,2025-01-28,0,3.005,3.062,3.033
