num,id,length,brood,date,code,perim,perim2,perim3
1,KYM8B,1.15,2,2025-02-04,0,4.177,4.256,4.217
2,KYM8B,1.15,2,2025-02-04,0,3.579,3.647,3.613
3,KYM8B,1.15,2,2025-02-04,0,3.76,3.831,3.795
4,KYM8B,1.16,2,2025-02-04,0,3.46,3.525,3.492
5,KYM8B,1.15,2,2025-02-04,0,3.449,3.514,3.481
6,KYM8B,1.12,2,2025-02-04,0,3.712,3.782,3.746
7,KYM8B,1.16,2,2025-02-04,0,3.48,3.546,3.513
8,KYM8B,1.18,2,2025-02-04,0,3.639,3.708,3.673
9,KYM8B,1.15,2,2025-02-04,0,3.47,3.535,3.502
10,KYM8B,1.17,2,2025-02-04,0,3.373,3.437,3.404
11,KYM8B,1.14,2,2025-02-04,0,3.365,3.429,3.397
12,KYM8B,1.06,2,2025-02-04,0,3.29,3.352,3.321
13,KYM8B,1.18,2,2025-02-04,0,3.314,3.376,3.345
14,KYM8B,1.14,2,2025-02-04,0,3.296,3.358,3.327
15,KYM8B,1.13,2,2025-02-04,0,3.362,3.426,3.394
16,KYM8B,1.17,2,2025-02-04,0,3.316,3.379,3.347
17,KYM8B,1.15,2,2025-02-04,0,3.906,3.98,3.942
18,KYM8B,1.14,2,2025-02-04,0,3.357,3.421,3.389
19,KYM8B,1.14,2,2025-02-04,0,3.385,3.449,3.417
20,KYM8B,1.13,2,2025-02-04,0,3.43,3.494,3.462
21,KYM8B,1.11,2,2025-02-04,0,3.371,3.435,3.403
22,KYM8B,1.16,2,2025-02-04,0,3.44,3.505,3.472
23,KYM8B,1.17,2,2025-02-04,0,3.348,3.411,3.379
24,KYM8B,1.13,2,2025-02-04,0,3.456,3.522,3.489
25,KYM8B,1.15,2,2025-02-04,0,3.466,3.532,3.499
26,KYM8B,1.13,2,2025-02-04,0,3.52,3.586,3.553
27,KYM8B,1.09,2,2025-02-04,0,3.174,3.235,3.204
28,KYM8B,1.12,2,2025-02-04,0,3.551,3.618,3.585
29,KYM8B,1.17,2,2025-02-04,0,3.52,3.586,3.553
30,KYM8B,1.16,2,2025-02-04,0,3.359,3.422,3.39
31,KYM8B,1.08,2,2025-02-04,0,3.466,3.532,3.499
32,KYM8B,1.12,2,2025-02-04,0,3.373,3.437,3.405
33,KYM8B,1.16,2,2025-02-04,0,3.378,3.442,3.41
34,KYM8B,1.21,2,2025-02-04,0,3.147,3.206,3.176
35,KYM8B,1.12,2,2025-02-04,0,3.447,3.513,3.48
36,KYM8B,1.14,2,2025-02-04,0,3.407,3.472,3.439
37,KYM8B,1.15,2,2025-02-04,0,3.489,3.555,3.522
38,KYM8B,1.11,2,2025-02-04,0,3.421,3.486,3.453
39,KYM8B,1.11,2,2025-02-04,0,3.37,3.434,3.402
40,KYM8B,1.12,2,2025-02-04,0,3.529,3.596,3.562
41,KYM8B,1.14,2,2025-02-04,0,3.477,3.542,3.509
42,KYM8B,1.13,2,2025-02-04,0,3.476,3.542,3.508
43,KYM8B,1.09,2,2025-02-04,0,3.316,3.379,3.348
44,KYM8B,1.17,2,2025-02-04,0,3.286,3.348,3.317
45,KYM8B,1.13,2,2025-02-04,0,3.406,3.471,3.438
46,KYM8B,1.23,2,2025-02-04,0,3.273,3.335,3.304
47,KYM8B,1.13,2,2025-02-04,0,3.407,3.472,3.439
48,KYM8B,1.15,2,2025-02-04,0,3.402,3.466,3.434
49,KYM8B,1.13,2,2025-02-04,0,3.351,3.414,3.382
50,KYM8B,1.2,2,2025-02-04,0,3.364,3.427,3.395
51,KYM8B,1.13,2,2025-02-04,0,3.402,3.466,3.434
