num,id,length,brood,date,code,perim,perim2,perim3
1,LE9Q9,1.35,1,2024-11-19,0,3.894,3.968,3.93
2,LE9Q9,1.37,1,2024-11-19,0,3.872,3.945,3.908
3,LE9Q9,1.35,1,2024-11-19,0,3.846,3.919,3.882
4,LE9Q9,1.31,1,2024-11-19,0,3.934,4.009,3.971
5,LE9Q9,1.31,1,2024-11-19,0,3.803,3.875,3.838
6,LE9Q9,1.38,1,2024-11-19,0,3.833,3.906,3.869
7,LE9Q9,1.31,1,2024-11-19,0,3.819,3.891,3.855
8,LE9Q9,1.35,1,2024-11-19,0,3.83,3.902,3.865
9,LE9Q9,1.36,1,2024-11-19,0,3.815,3.887,3.851
10,LE9Q9,1.31,1,2024-11-19,0,3.963,4.037,4
11,LE9Q9,1.31,1,2024-11-19,0,3.946,4.021,3.983
12,LE9Q9,1.32,1,2024-11-19,0,3.911,3.985,3.947
13,LE9Q9,1.36,1,2024-11-19,0,3.824,3.896,3.859
14,LE9Q9,1.34,1,2024-11-19,0,3.9,3.974,3.937
15,LE9Q9,1.31,1,2024-11-19,0,3.844,3.917,3.88
16,LE9Q9,1.35,1,2024-11-19,0,3.984,4.059,4.021
17,LE9Q9,1.32,1,2024-11-19,0,3.925,3.999,3.962
18,LE9Q9,1.36,1,2024-11-19,0,4.041,4.117,4.078
19,LE9Q9,1.37,1,2024-11-19,0,3.91,3.984,3.946
20,LE9Q9,1.34,1,2024-11-19,0,3.867,3.94,3.904
21,LE9Q9,1.35,1,2024-11-19,0,3.994,4.07,4.032
22,LE9Q9,1.36,1,2024-11-19,0,4.005,4.081,4.043
23,LE9Q9,1.35,1,2024-11-19,0,3.871,3.944,3.908
24,LE9Q9,1.37,1,2024-11-19,0,3.94,4.014,3.977
25,LE9Q9,1.36,1,2024-11-19,0,3.795,3.867,3.831
26,LE9Q9,1.37,1,2024-11-19,0,3.826,3.899,3.862
27,LE9Q9,1.37,1,2024-11-19,0,3.839,3.912,3.875
28,LE9Q9,1.38,1,2024-11-19,0,3.753,3.824,3.788
29,LE9Q9,1.38,1,2024-11-19,0,3.969,4.044,4.006
30,LE9Q9,1.4,1,2024-11-19,0,3.879,3.952,3.915
31,LE9Q9,1.39,1,2024-11-19,0,3.861,3.934,3.898
32,LE9Q9,1.36,1,2024-11-19,0,3.994,4.069,4.031
33,LE9Q9,1.35,1,2024-11-19,0,3.79,3.862,3.826
34,LE9Q9,1.35,1,2024-11-19,0,3.819,3.892,3.855
35,LE9Q9,1.36,1,2024-11-19,0,3.844,3.917,3.88
36,LE9Q9,1.38,1,2024-11-19,0,3.858,3.931,3.894
37,LE9Q9,1.37,1,2024-11-19,0,3.848,3.921,3.884
38,LE9Q9,1.36,1,2024-11-19,0,3.885,3.959,3.922
39,LE9Q9,1.35,1,2024-11-19,0,3.899,3.973,3.936
40,LE9Q9,1.33,1,2024-11-19,0,3.771,3.842,3.806
