num,id,length,brood,date,code,perim,perim2,perim3
1,LT277,1.35,2,2025-03-05,0,3.824,3.897,3.86
2,LT277,1.24,2,2025-03-05,0,3.645,3.714,3.68
3,LT277,1.33,2,2025-03-05,0,3.873,3.946,3.909
4,LT277,1.26,2,2025-03-05,0,3.395,3.46,3.427
5,LT277,1.3,2,2025-03-05,0,3.696,3.766,3.73
6,LT277,1.32,2,2025-03-05,0,3.818,3.89,3.853
7,LT277,1.26,2,2025-03-05,0,3.833,3.906,3.869
8,LT277,1.1,2,2025-03-05,0,3.806,3.878,3.842
9,LT277,1.12,2,2025-03-05,0,3.774,3.846,3.81
10,LT277,1.27,2,2025-03-05,0,3.637,3.706,3.671
11,LT277,1.26,2,2025-03-05,0,3.469,3.535,3.502
12,LT277,1.27,2,2025-03-05,0,3.796,3.868,3.832
13,LT277,1.19,2,2025-03-05,0,3.819,3.891,3.854
14,LT277,1.18,2,2025-03-05,0,3.785,3.857,3.821
15,LT277,1.33,2,2025-03-05,0,3.311,3.374,3.342
16,LT277,1.32,2,2025-03-05,0,3.908,3.982,3.945
17,LT277,1.15,2,2025-03-05,0,3.82,3.892,3.856
18,LT277,1.27,2,2025-03-05,0,3.865,3.939,3.902
19,LT277,1.29,2,2025-03-05,0,3.307,3.369,3.338
20,LT277,1.29,2,2025-03-05,0,3.903,3.977,3.94
21,LT277,1.31,2,2025-03-05,0,3.843,3.916,3.879
22,LT277,1.27,2,2025-03-05,0,3.709,3.779,3.744
23,LT277,1.28,2,2025-03-05,0,3.77,3.842,3.806
24,LT277,1.26,2,2025-03-05,0,3.751,3.822,3.787
25,LT277,1.32,2,2025-03-05,0,3.691,3.761,3.726
26,LT277,1.26,2,2025-03-05,0,3.814,3.886,3.849
27,LT277,1.17,2,2025-03-05,0,3.883,3.957,3.92
28,LT277,1.15,2,2025-03-05,0,3.707,3.777,3.741
29,LT277,1.31,2,2025-03-05,0,3.294,3.356,3.325
30,LT277,1.35,2,2025-03-05,0,3.759,3.83,3.794
31,LT277,1.14,2,2025-03-05,0,3.577,3.645,3.611
32,LT277,1.1,2,2025-03-05,0,3.305,3.367,3.336
33,LT277,1.27,2,2025-03-05,0,3.343,3.407,3.375
34,LT277,1.34,2,2025-03-05,0,3.163,3.223,3.193
35,LT277,1.12,2,2025-03-05,0,3.685,3.754,3.719
36,LT277,1.28,2,2025-03-05,0,3.263,3.324,3.293
37,LT277,1.16,2,2025-03-05,0,3.804,3.875,3.839
38,LT277,1.28,2,2025-03-05,0,3.684,3.754,3.719
39,LT277,1.24,2,2025-03-05,0,3.852,3.924,3.888
