num,id,length,brood,date,code,perim,perim2,perim3
1,M69PP,0.95,1,2024-11-12,0,2.987,2.998,3.009
2,M69PP,1.06,1,2024-11-12,0,3.11,3.121,3.133
3,M69PP,1.09,1,2024-11-12,0,2.629,2.639,2.648
4,M69PP,0.89,1,2024-11-12,0,3.236,3.248,3.26
5,M69PP,1.08,1,2024-11-12,0,2.504,2.513,2.522
6,M69PP,1.08,1,2024-11-12,0,3.103,3.115,3.126
7,M69PP,1.12,1,2024-11-12,0,3.12,3.132,3.143
8,M69PP,1.21,1,2024-11-12,0,2.918,3.047,2.94
9,M69PP,1.06,1,2024-11-12,0,2.961,2.972,2.983
10,M69PP,1.11,1,2024-11-12,0,3.071,3.082,3.094
11,M69PP,1.09,1,2024-11-12,0,3.196,3.208,3.22
12,M69PP,1.08,1,2024-11-12,0,3.202,3.214,3.226
13,M69PP,0.99,1,2024-11-12,0,3.155,3.167,3.178
14,M69PP,1.1,1,2024-11-12,0,3.224,3.236,3.248
15,M69PP,0.99,1,2024-11-12,0,3.189,3.201,3.213
16,M69PP,1.1,1,2024-11-12,0,3.172,3.184,3.195
17,M69PP,1.09,1,2024-11-12,0,3.071,3.082,3.094
18,M69PP,0.99,1,2024-11-12,0,3.117,3.128,3.14
19,M69PP,1.01,1,2024-11-12,0,3.152,3.164,3.176
20,M69PP,1.08,1,2024-11-12,0,3.134,3.145,3.157
21,M69PP,1.08,1,2024-11-12,0,3.024,3.035,3.046
22,M69PP,1.11,1,2024-11-12,0,3.204,3.162,3.174
23,M69PP,1.04,1,2024-11-12,0,3.245,3.203,3.215
24,M69PP,0.88,1,2024-11-12,0,2.638,2.647,2.657
25,M69PP,1.07,1,2024-11-12,0,3.093,3.104,3.115
26,M69PP,1.15,1,2024-11-12,0,3.153,3.165,3.177
27,M69PP,1.07,1,2024-11-12,0,3.097,3.108,3.12
28,M69PP,1.05,1,2024-11-12,0,3.187,3.199,3.211
29,M69PP,1.09,1,2024-11-12,0,3.187,3.199,3.211
30,M69PP,1.06,1,2024-11-12,0,3.231,3.243,3.255
31,M69PP,1.09,1,2024-11-12,0,3.032,3.043,3.054
32,M69PP,1.09,1,2024-11-12,0,3.144,3.156,3.168
33,M69PP,1.08,1,2024-11-12,0,2.741,2.751,2.762
34,M69PP,1.07,1,2024-11-12,0,3.17,3.182,3.194
35,M69PP,1.08,1,2024-11-12,0,3.097,3.108,3.12
36,M69PP,1.09,1,2024-11-12,0,3.19,3.202,3.213
37,M69PP,1.05,1,2024-11-12,0,3.097,3.108,3.12
38,M69PP,0.98,1,2024-11-12,0,3.106,3.117,3.129
39,M69PP,0.94,1,2024-11-12,0,3.343,3.355,3.367
40,M69PP,1.07,1,2024-11-12,0,3.11,3.121,3.133
41,M69PP,1.04,1,2024-11-12,0,2.995,3.006,3.017
42,M69PP,1.07,1,2024-11-12,0,2.946,2.957,2.968
43,M69PP,1.09,1,2024-11-12,0,3.118,3.13,3.141
44,M69PP,1.08,1,2024-11-12,0,3.062,3.073,3.085
45,M69PP,1.01,1,2024-11-12,0,3.149,3.16,3.172
46,M69PP,1.08,1,2024-11-12,0,2.81,2.821,2.831
47,M69PP,1.06,1,2024-11-12,0,3.084,3.096,3.107
48,M69PP,0.99,1,2024-11-12,0,3.205,3.217,3.229
49,M69PP,1.07,1,2024-11-12,0,3.086,3.098,3.109
50,M69PP,1.11,1,2024-11-12,0,3.184,3.195,3.207
51,M69PP,1.03,1,2024-11-12,0,3.041,3.052,3.063
52,M69PP,1.08,1,2024-11-12,0,3.17,3.182,3.194
53,M69PP,1.05,1,2024-11-12,0,3.386,3.398,3.411
54,M69PP,1.06,1,2024-11-12,0,3.222,3.234,3.246
55,M69PP,1.1,1,2024-11-12,0,3.183,3.194,3.206
56,M69PP,1.09,1,2024-11-12,0,3.101,3.113,3.124
57,M69PP,1.05,1,2024-11-12,0,3.144,3.156,3.168
58,M69PP,1.08,1,2024-11-12,0,3.118,3.13,3.141
59,M69PP,0.87,1,2024-11-12,0,3.076,3.087,3.098
