num,id,length,brood,date,code,perim,perim2,perim3
1,NUS9F,0.78,1,2024-11-26,0,3.297,3.297,3.277
2,NUS9F,1.07,1,2024-11-26,0,3.241,3.241,3.205
3,NUS9F,1.1,1,2024-11-26,0,3.276,3.276,3.208
4,NUS9F,1.1,1,2024-11-26,0,3.291,3.291,3.261
5,NUS9F,1.04,1,2024-11-26,0,3.276,3.276,3.238
6,NUS9F,1.06,1,2024-11-26,0,3.186,3.186,3.145
7,NUS9F,1.05,1,2024-11-26,0,3.305,3.305,3.222
8,NUS9F,1.04,1,2024-11-26,0,3.276,3.276,3.223
9,NUS9F,1.08,1,2024-11-26,0,2.896,2.896,2.844
10,NUS9F,1.09,1,2024-11-26,0,3.268,3.268,3.201
11,NUS9F,0.91,1,2024-11-26,0,3.259,3.259,3.246
12,NUS9F,1.07,1,2024-11-26,0,3.251,3.251,3.22
13,NUS9F,1.06,1,2024-11-26,0,3.215,3.215,3.158
14,NUS9F,1.06,1,2024-11-26,0,2.865,2.865,2.852
15,NUS9F,1.1,1,2024-11-26,0,3.186,3.186,3.087
16,NUS9F,1.09,1,2024-11-26,0,3.207,3.207,3.208
17,NUS9F,0.91,1,2024-11-26,0,3.249,3.249,3.245
18,NUS9F,1.1,1,2024-11-26,0,3.266,3.266,3.236
19,NUS9F,1.04,1,2024-11-26,0,3.212,3.212,3.287
20,NUS9F,1.06,1,2024-11-26,0,3.196,3.196,3.143
21,NUS9F,1.02,1,2024-11-26,0,3.282,3.282,3.251
22,NUS9F,1.07,1,2024-11-26,0,3.345,3.345,3.204
23,NUS9F,1.1,1,2024-11-26,0,3.201,3.201,3.163
24,NUS9F,1.1,1,2024-11-26,0,3.334,3.334,3.23
25,NUS9F,1.08,1,2024-11-26,0,3.25,3.25,3.204
26,NUS9F,1.08,1,2024-11-26,0,3.316,3.316,3.301
27,NUS9F,1.03,1,2024-11-26,0,3.192,3.192,3.163
28,NUS9F,1.07,1,2024-11-26,0,2.619,2.619,2.642
29,NUS9F,1,1,2024-11-26,0,3.224,3.224,3.173
30,NUS9F,1.01,1,2024-11-26,0,3.321,3.321,3.271
31,NUS9F,1.1,1,2024-11-26,0,3.229,3.229,3.204
32,NUS9F,1,1,2024-11-26,0,3.137,3.137,3.116
33,NUS9F,1,1,2024-11-26,0,3.226,3.226,3.188
34,NUS9F,1.09,1,2024-11-26,0,3.25,3.25,3.206
35,NUS9F,1.08,1,2024-11-26,0,3.367,3.367,3.328
36,NUS9F,1.08,1,2024-11-26,0,3.207,3.207,3.187
37,NUS9F,1.09,1,2024-11-26,0,3.214,3.214,3.191
38,NUS9F,0.86,1,2024-11-26,0,3.396,3.396,3.34
39,NUS9F,1.04,1,2024-11-26,0,3.209,3.209,3.211
40,NUS9F,1.07,1,2024-11-26,0,2.82,2.82,2.786
41,NUS9F,1.08,1,2024-11-26,0,3.337,3.337,3.285
42,NUS9F,1.06,1,2024-11-26,0,2.847,2.847,2.8
43,NUS9F,1.04,1,2024-11-26,0,3.302,3.302,3.261
44,NUS9F,1.07,1,2024-11-26,0,3.331,3.331,3.302
45,NUS9F,1.06,1,2024-11-26,0,3.297,3.297,3.24
46,NUS9F,1.06,1,2024-11-26,0,3.224,3.224,3.175
47,NUS9F,1.11,1,2024-11-26,0,3.393,3.393,3.383
48,NUS9F,1.06,1,2024-11-26,0,3.379,3.379,3.289
49,NUS9F,1.09,1,2024-11-26,0,3.288,3.288,3.263
50,NUS9F,1.07,1,2024-11-26,0,3.285,3.285,3.228
51,NUS9F,1.04,1,2024-11-26,0,3.248,3.248,3.21
52,NUS9F,1.07,1,2024-11-26,0,3.153,3.153,3.123
53,NUS9F,1.08,1,2024-11-26,0,3.194,3.194,3.164
54,NUS9F,1.11,1,2024-11-26,0,3.272,3.272,3.221
55,NUS9F,1.08,1,2024-11-26,0,3.183,3.183,3.169
56,NUS9F,1.03,1,2024-11-26,0,3.217,3.217,3.174
57,NUS9F,0.86,1,2024-11-26,0,3.224,3.224,3.184
58,NUS9F,1.06,1,2024-11-26,0,3.276,3.276,3.229
59,NUS9F,1.06,1,2024-11-26,0,3.225,3.225,3.172
60,NUS9F,1.08,1,2024-11-26,0,3.171,3.171,3.128
61,NUS9F,1.1,1,2024-11-26,0,3.305,3.305,3.297
62,NUS9F,1.08,1,2024-11-26,0,3.558,3.558,3.548
63,NUS9F,1.06,1,2024-11-26,0,3.479,3.479,3.392
64,NUS9F,1.04,1,2024-11-26,0,3.305,3.305,3.247
65,NUS9F,1.08,1,2024-11-26,0,3.39,3.39,3.405
66,NUS9F,1.05,1,2024-11-26,0,3.258,3.258,3.217
67,NUS9F,1.07,1,2024-11-26,0,3.311,3.311,3.249
68,NUS9F,1.1,1,2024-11-26,0,3.231,3.231,3.208
69,NUS9F,1.06,1,2024-11-26,0,3.185,3.185,3.121
70,NUS9F,1.03,1,2024-11-26,0,3.129,3.129,3.076
71,NUS9F,1.09,1,2024-11-26,0,3.145,3.145,3.108
