num,id,length,brood,date,code,perim,perim2,perim3
1,NZAI8,1.01,2,2025-02-19,0,2.972,3.028,3
2,NZAI8,1.02,2,2025-02-19,0,3.243,3.304,3.274
3,NZAI8,1.02,2,2025-02-19,0,3.317,3.38,3.348
4,NZAI8,0.92,2,2025-02-19,0,3.146,3.205,3.175
5,NZAI8,0.95,2,2025-02-19,0,3.021,3.078,3.049
6,NZAI8,0.96,2,2025-02-19,0,3.052,3.109,3.08
7,NZAI8,0.94,2,2025-02-19,0,3.273,3.335,3.304
8,NZAI8,1.02,2,2025-02-19,0,2.988,3.044,3.016
9,NZAI8,1,2,2025-02-19,0,2.994,3.051,3.022
10,NZAI8,0.94,2,2025-02-19,0,3.138,3.198,3.168
11,NZAI8,0.98,2,2025-02-19,0,2.881,2.935,2.908
12,NZAI8,0.96,2,2025-02-19,0,3.129,3.189,3.159
13,NZAI8,1.02,2,2025-02-19,0,3.005,3.062,3.033
14,NZAI8,0.91,2,2025-02-19,0,2.985,3.042,3.013
15,NZAI8,0.97,2,2025-02-19,0,3.103,3.162,3.132
16,NZAI8,0.98,2,2025-02-19,0,3.125,3.184,3.154
17,NZAI8,0.96,2,2025-02-19,0,3.05,3.108,3.079
18,NZAI8,1.03,2,2025-02-19,0,3.029,3.086,3.057
19,NZAI8,0.91,2,2025-02-19,0,3.113,3.172,3.142
20,NZAI8,0.96,2,2025-02-19,0,2.936,2.992,2.964
21,NZAI8,0.99,2,2025-02-19,0,3.226,3.287,3.256
22,NZAI8,1.03,2,2025-02-19,0,2.906,2.961,2.933
23,NZAI8,0.9,2,2025-02-19,0,3.004,3.061,3.032
24,NZAI8,1,2,2025-02-19,0,3.18,3.24,3.209
25,NZAI8,0.99,2,2025-02-19,0,2.949,3.005,2.977
26,NZAI8,0.92,2,2025-02-19,0,3.055,3.113,3.084
27,NZAI8,0.99,2,2025-02-19,0,2.884,2.938,2.911
28,NZAI8,0.96,2,2025-02-19,0,3.154,3.214,3.184
29,NZAI8,0.96,2,2025-02-19,0,3.048,3.105,3.076
30,NZAI8,0.97,2,2025-02-19,0,2.993,3.05,3.021
31,NZAI8,0.97,2,2025-02-19,0,3.106,3.165,3.136
32,NZAI8,0.99,2,2025-02-19,0,2.923,2.978,2.951
33,NZAI8,0.93,2,2025-02-19,0,3.187,3.247,3.217
34,NZAI8,0.97,2,2025-02-19,0,3.006,3.063,3.034
35,NZAI8,1.06,2,2025-02-19,0,3.227,3.288,3.258
36,NZAI8,1,2,2025-02-19,0,2.965,3.021,2.992
37,NZAI8,0.99,2,2025-02-19,0,3.096,3.154,3.125
38,NZAI8,0.96,2,2025-02-19,0,3.14,3.2,3.17
39,NZAI8,0.99,2,2025-02-19,0,2.918,2.973,2.945
40,NZAI8,1,2,2025-02-19,0,3.087,3.145,3.116
41,NZAI8,0.94,2,2025-02-19,0,3.111,3.17,3.14
42,NZAI8,0.93,2,2025-02-19,0,3.314,3.377,3.345
43,NZAI8,0.98,2,2025-02-19,0,3.196,3.256,3.226
44,NZAI8,0.97,2,2025-02-19,0,3.03,3.087,3.059
