num,id,length,brood,date,code,perim,perim2,perim3
1,PFWX1,1.1,2,2025-02-05,0,3.616,3.684,3.65
2,PFWX1,1.14,2,2025-02-05,0,3.592,3.66,3.626
3,PFWX1,1.12,2,2025-02-05,0,3.226,3.287,3.256
4,PFWX1,1.1,2,2025-02-05,0,3.34,3.403,3.371
5,PFWX1,1.2,2,2025-02-05,0,3.038,3.096,3.067
6,PFWX1,1.12,2,2025-02-05,0,3.297,3.359,3.328
7,PFWX1,1.2,2,2025-02-05,0,3.379,3.443,3.411
8,PFWX1,1.14,2,2025-02-05,0,3.416,3.481,3.448
9,PFWX1,1.16,2,2025-02-05,0,3.284,3.346,3.315
10,PFWX1,1.17,2,2025-02-05,0,3.776,3.848,3.812
11,PFWX1,1.19,2,2025-02-05,0,3.483,3.548,3.515
12,PFWX1,1.14,2,2025-02-05,0,3.276,3.338,3.306
13,PFWX1,1.15,2,2025-02-05,0,3.323,3.385,3.354
14,PFWX1,1.06,2,2025-02-05,0,3.383,3.447,3.414
15,PFWX1,1.07,2,2025-02-05,0,3.397,3.461,3.429
16,PFWX1,1.07,2,2025-02-05,0,3.223,3.284,3.254
17,PFWX1,1.13,2,2025-02-05,0,3.548,3.616,3.582
18,PFWX1,1.16,2,2025-02-05,1,3.52,3.587,3.553
19,PFWX1,1.12,2,2025-02-05,1,3.606,3.674,3.64
20,PFWX1,1.14,2,2025-02-05,1,3.271,3.333,3.302
21,PFWX1,1.08,2,2025-02-05,1,3.258,3.32,3.289
22,PFWX1,1.1,2,2025-02-05,1,3.204,3.265,3.234
23,PFWX1,1.09,2,2025-02-05,1,3.237,3.299,3.268
24,PFWX1,1.1,2,2025-02-05,1,3.244,3.305,3.275
25,PFWX1,1.16,2,2025-02-05,1,3.38,3.444,3.412
26,PFWX1,1.14,2,2025-02-05,1,3.286,3.348,3.317
27,PFWX1,1.11,2,2025-02-05,1,3.287,3.349,3.317
28,PFWX1,1.11,2,2025-02-05,1,3.44,3.505,3.472
29,PFWX1,1.12,2,2025-02-05,1,3.246,3.308,3.277
30,PFWX1,1.19,2,2025-02-05,1,3.222,3.283,3.252
31,PFWX1,1.12,2,2025-02-05,1,3.219,3.28,3.249
32,PFWX1,1.13,2,2025-02-05,1,3.278,3.34,3.308
33,PFWX1,1.1,2,2025-02-05,1,3.299,3.362,3.33
34,PFWX1,1.13,2,2025-02-05,1,3.342,3.405,3.373
35,PFWX1,1.13,2,2025-02-05,1,3.185,3.245,3.215
36,PFWX1,1.08,2,2025-02-05,1,3.209,3.27,3.239
