num,id,length,brood,date,code,perim,perim2,perim3
1,Q1F6B,1.19,1,2024-11-27,0,3.391,3.455,3.422
2,Q1F6B,1.21,1,2024-11-27,0,3.364,3.427,3.395
3,Q1F6B,1.19,1,2024-11-27,0,3.339,3.402,3.37
4,Q1F6B,1.17,1,2024-11-27,0,3.385,3.449,3.416
5,Q1F6B,1.19,1,2024-11-27,0,3.414,3.478,3.446
6,Q1F6B,1.22,1,2024-11-27,0,3.476,3.542,3.509
7,Q1F6B,1.16,1,2024-11-27,0,3.421,3.486,3.453
8,Q1F6B,1.19,1,2024-11-27,0,3.354,3.417,3.385
9,Q1F6B,1.17,1,2024-11-27,0,3.447,3.512,3.479
10,Q1F6B,1.18,1,2024-11-27,0,3.45,3.515,3.482
11,Q1F6B,1.16,1,2024-11-27,0,3.371,3.435,3.403
12,Q1F6B,1.18,1,2024-11-27,0,3.529,3.595,3.562
13,Q1F6B,1.19,1,2024-11-27,0,3.416,3.48,3.448
14,Q1F6B,1.15,1,2024-11-27,0,3.474,3.539,3.506
15,Q1F6B,1.19,1,2024-11-27,0,3.34,3.403,3.371
16,Q1F6B,1.18,1,2024-11-27,0,3.366,3.429,3.397
17,Q1F6B,1.23,1,2024-11-27,0,3.43,3.495,3.462
18,Q1F6B,1.17,1,2024-11-27,0,3.459,3.524,3.491
19,Q1F6B,1.17,1,2024-11-27,0,3.38,3.444,3.412
20,Q1F6B,1.18,1,2024-11-27,0,3.353,3.417,3.385
21,Q1F6B,1.2,1,2024-11-27,0,3.4,3.465,3.432
22,Q1F6B,1.16,1,2024-11-27,0,3.403,3.467,3.435
23,Q1F6B,1.2,1,2024-11-27,0,3.291,3.353,3.322
24,Q1F6B,1.19,1,2024-11-27,0,3.41,3.475,3.442
25,Q1F6B,1.17,1,2024-11-27,0,3.422,3.486,3.454
26,Q1F6B,1.17,1,2024-11-27,0,3.455,3.52,3.487
27,Q1F6B,1.18,1,2024-11-27,0,3.371,3.435,3.403
28,Q1F6B,1.17,1,2024-11-27,0,3.423,3.488,3.456
29,Q1F6B,1.19,1,2024-11-27,0,3.554,3.622,3.588
30,Q1F6B,1.16,1,2024-11-27,0,3.351,3.414,3.382
31,Q1F6B,1.17,1,2024-11-27,0,3.39,3.454,3.422
32,Q1F6B,1.16,1,2024-11-27,0,3.431,3.496,3.464
33,Q1F6B,1.19,1,2024-11-27,0,3.405,3.469,3.437
