num,id,length,brood,date,code,perim,perim2,perim3
1,Q64J9,1.17,1,2024-11-27,0,3.515,3.581,3.548
2,Q64J9,1.14,1,2024-11-27,0,3.368,3.432,3.4
3,Q64J9,1.13,1,2024-11-27,0,3.704,3.774,3.739
4,Q64J9,1.16,1,2024-11-27,0,3.585,3.653,3.619
5,Q64J9,1.15,1,2024-11-27,0,3.561,3.628,3.595
6,Q64J9,1.16,1,2024-11-27,0,3.574,3.642,3.608
7,Q64J9,1.2,1,2024-11-27,0,3.664,3.733,3.698
8,Q64J9,1.18,1,2024-11-27,0,3.459,3.524,3.491
9,Q64J9,1.19,1,2024-11-27,0,3.538,3.604,3.571
10,Q64J9,1.17,1,2024-11-27,0,3.536,3.603,3.569
11,Q64J9,1.15,1,2024-11-27,0,3.515,3.582,3.548
12,Q64J9,1.16,1,2024-11-27,0,3.638,3.707,3.672
13,Q64J9,1.18,1,2024-11-27,0,3.524,3.591,3.557
14,Q64J9,1.15,1,2024-11-27,0,3.506,3.572,3.538
15,Q64J9,1.16,1,2024-11-27,0,3.384,3.448,3.415
16,Q64J9,1.17,1,2024-11-27,0,3.429,3.494,3.461
17,Q64J9,1.14,1,2024-11-27,0,3.595,3.663,3.629
18,Q64J9,1.17,1,2024-11-27,0,3.606,3.674,3.64
19,Q64J9,1.18,1,2024-11-27,0,3.622,3.691,3.656
20,Q64J9,1.19,1,2024-11-27,0,3.715,3.785,3.75
21,Q64J9,1.18,1,2024-11-27,0,3.51,3.576,3.543
22,Q64J9,1.17,1,2024-11-27,0,3.518,3.584,3.551
23,Q64J9,1.19,1,2024-11-27,0,3.52,3.587,3.553
24,Q64J9,1.16,1,2024-11-27,0,3.787,3.859,3.822
25,Q64J9,1.12,1,2024-11-27,0,3.599,3.668,3.633
26,Q64J9,1.18,1,2024-11-27,0,3.582,3.65,3.616
27,Q64J9,1.16,1,2024-11-27,0,3.487,3.553,3.52
28,Q64J9,1.16,1,2024-11-27,0,3.55,3.617,3.584
29,Q64J9,1.17,1,2024-11-27,0,3.624,3.693,3.658
30,Q64J9,1.16,1,2024-11-27,0,3.496,3.562,3.529
31,Q64J9,1.18,1,2024-11-27,0,3.726,3.796,3.761
32,Q64J9,1.11,1,2024-11-27,0,3.582,3.65,3.616
33,Q64J9,1.18,1,2024-11-27,0,3.717,3.787,3.752
34,Q64J9,1.12,1,2024-11-27,0,3.473,3.539,3.506
35,Q64J9,1.16,1,2024-11-27,0,3.487,3.553,3.52
36,Q64J9,0.92,1,2024-11-27,0,3.559,3.627,3.593
37,Q64J9,1.14,1,2024-11-27,0,3.414,3.479,3.447
38,Q64J9,1.18,1,2024-11-27,0,3.702,3.772,3.736
39,Q64J9,1.16,1,2024-11-27,0,3.459,3.525,3.492
40,Q64J9,1.16,1,2024-11-27,0,3.668,3.737,3.703
41,Q64J9,1.16,1,2024-11-27,0,3.504,3.57,3.537
42,Q64J9,1.19,1,2024-11-27,0,3.015,3.072,3.043
43,Q64J9,1.17,1,2024-11-27,0,3.43,3.495,3.462
44,Q64J9,1.17,1,2024-11-27,0,3.579,3.646,3.612
45,Q64J9,1.15,1,2024-11-27,0,3.469,3.534,3.501
