num,id,length,brood,date,code,perim,perim2,perim3
1,Q9RWU,1.14,1,2024-11-19,0,3.498,3.565,3.531
2,Q9RWU,1.26,1,2024-11-19,0,3.676,3.745,3.71
3,Q9RWU,1.22,1,2024-11-19,0,3.498,3.564,3.531
4,Q9RWU,1.18,1,2024-11-19,0,3.505,3.571,3.538
5,Q9RWU,1.24,1,2024-11-19,0,3.55,3.617,3.583
6,Q9RWU,1.24,1,2024-11-19,0,3.575,3.643,3.609
7,Q9RWU,1.21,1,2024-11-19,0,3.526,3.592,3.559
8,Q9RWU,1.24,1,2024-11-19,0,3.577,3.645,3.611
9,Q9RWU,1.22,1,2024-11-19,0,3.661,3.73,3.695
10,Q9RWU,1.26,1,2024-11-19,0,3.564,3.631,3.597
11,Q9RWU,1.24,1,2024-11-19,0,3.467,3.532,3.499
12,Q9RWU,1.21,1,2024-11-19,0,3.564,3.631,3.597
13,Q9RWU,1.19,1,2024-11-19,0,3.604,3.672,3.638
14,Q9RWU,1.19,1,2024-11-19,0,3.457,3.523,3.49
15,Q9RWU,1.24,1,2024-11-19,0,3.646,3.715,3.68
16,Q9RWU,1.26,1,2024-11-19,0,3.538,3.605,3.571
17,Q9RWU,1.17,1,2024-11-19,0,3.654,3.723,3.689
18,Q9RWU,1.2,1,2024-11-19,0,3.519,3.586,3.552
19,Q9RWU,1.22,1,2024-11-19,0,3.599,3.667,3.632
20,Q9RWU,1.2,1,2024-11-19,0,3.512,3.578,3.545
21,Q9RWU,1.21,1,2024-11-19,0,3.495,3.561,3.528
22,Q9RWU,1.17,1,2024-11-19,0,3.669,3.738,3.703
23,Q9RWU,1.19,1,2024-11-19,0,3.516,3.582,3.549
24,Q9RWU,1.25,1,2024-11-19,0,3.621,3.69,3.655
25,Q9RWU,1.17,1,2024-11-19,0,3.656,3.726,3.691
26,Q9RWU,1.24,1,2024-11-19,0,3.547,3.614,3.58
27,Q9RWU,1.19,1,2024-11-19,0,3.661,3.731,3.696
28,Q9RWU,1.22,1,2024-11-19,0,3.745,3.816,3.781
29,Q9RWU,1.2,1,2024-11-19,0,3.449,3.514,3.481
30,Q9RWU,1.25,1,2024-11-19,0,3.502,3.568,3.534
31,Q9RWU,1.22,1,2024-11-19,0,3.647,3.716,3.681
32,Q9RWU,1.21,1,2024-11-19,0,3.62,3.688,3.654
33,Q9RWU,1.17,1,2024-11-19,0,4.148,4.226,4.187
34,Q9RWU,1.22,1,2024-11-19,0,3.565,3.633,3.599
35,Q9RWU,1.2,1,2024-11-19,0,3.551,3.618,3.585
36,Q9RWU,1.21,1,2024-11-19,0,3.536,3.603,3.57
37,Q9RWU,1.2,1,2024-11-19,0,3.559,3.627,3.593
38,Q9RWU,1.2,1,2024-11-19,0,3.596,3.664,3.629
39,Q9RWU,1.15,1,2024-11-19,0,3.559,3.627,3.593
40,Q9RWU,1.23,1,2024-11-19,0,3.635,3.704,3.669
41,Q9RWU,1.22,1,2024-11-19,0,3.563,3.63,3.596
42,Q9RWU,1.19,1,2024-11-19,0,3.465,3.53,3.497
43,Q9RWU,1.22,1,2024-11-19,0,3.57,3.638,3.604
44,Q9RWU,1.17,1,2024-11-19,0,3.535,3.602,3.569
45,Q9RWU,1.24,1,2024-11-19,0,3.6,3.668,3.634
46,Q9RWU,1.18,1,2024-11-19,0,3.569,3.637,3.603
47,Q9RWU,1.24,1,2024-11-19,0,3.724,3.795,3.759
48,Q9RWU,1.24,1,2024-11-19,0,3.569,3.637,3.603
49,Q9RWU,1.2,1,2024-11-19,0,3.564,3.632,3.598
50,Q9RWU,1.2,1,2024-11-19,0,3.535,3.602,3.568
51,Q9RWU,1.24,1,2024-11-19,0,3.572,3.64,3.606
52,Q9RWU,1.21,1,2024-11-19,0,3.464,3.529,3.496
53,Q9RWU,1.23,1,2024-11-19,0,3.611,3.679,3.645
54,Q9RWU,1.22,1,2024-11-19,0,3.456,3.521,3.488
55,Q9RWU,1.22,1,2024-11-19,0,3.585,3.653,3.619
56,Q9RWU,1.22,1,2024-11-19,0,3.539,3.606,3.572
57,Q9RWU,1.24,1,2024-11-19,0,3.522,3.589,3.555
58,Q9RWU,1.19,1,2024-11-19,0,3.531,3.598,3.565
59,Q9RWU,1.23,1,2024-11-19,0,3.534,3.6,3.567
60,Q9RWU,1.18,1,2024-11-19,0,3.564,3.632,3.598
61,Q9RWU,1.18,1,2024-11-19,0,3.687,3.756,3.721
62,Q9RWU,1.21,1,2024-11-19,0,3.403,3.468,3.435
63,Q9RWU,,1,2024-11-19,0,3.324,3.386,3.355
