num,id,length,brood,date,code,perim,perim2,perim3
1,QM7VX,1.24,2,2025-02-12,0,3.627,3.695,3.661
2,QM7VX,1.25,2,2025-02-12,0,3.852,3.925,3.888
3,QM7VX,1.25,2,2025-02-12,0,3.687,3.757,3.722
4,QM7VX,1.25,2,2025-02-12,0,3.68,3.749,3.714
5,QM7VX,1.28,2,2025-02-12,0,3.824,3.897,3.86
6,QM7VX,1.27,2,2025-02-12,0,3.805,3.877,3.841
7,QM7VX,1.26,2,2025-02-12,0,3.756,3.827,3.791
8,QM7VX,1.27,2,2025-02-12,0,3.822,3.894,3.858
9,QM7VX,1.26,2,2025-02-12,0,3.656,3.725,3.69
10,QM7VX,1.26,2,2025-02-12,0,3.758,3.829,3.793
11,QM7VX,1.22,2,2025-02-12,0,3.764,3.835,3.8
12,QM7VX,1.26,2,2025-02-12,0,3.677,3.746,3.711
13,QM7VX,1.26,2,2025-02-12,0,3.691,3.761,3.725
14,QM7VX,1.3,2,2025-02-12,0,3.769,3.841,3.805
