num,id,length,brood,date,code,perim,perim2,perim3
1,R2XAI,1.04,2,2025-02-24,0,3.294,3.356,3.325
2,R2XAI,1.09,2,2025-02-24,0,3.303,3.365,3.334
3,R2XAI,1.07,2,2025-02-24,0,3.164,3.224,3.194
4,R2XAI,0.99,2,2025-02-24,0,3.294,3.356,3.325
5,R2XAI,1.02,2,2025-02-24,0,3.267,3.328,3.297
6,R2XAI,1.02,2,2025-02-24,0,3.287,3.349,3.317
7,R2XAI,1.04,2,2025-02-24,0,3.385,3.449,3.417
8,R2XAI,1.06,2,2025-02-24,0,3.126,3.185,3.156
9,R2XAI,1.02,2,2025-02-24,0,3.296,3.358,3.327
10,R2XAI,1.06,2,2025-02-24,0,3.225,3.286,3.255
11,R2XAI,1.06,2,2025-02-24,0,3.294,3.356,3.325
12,R2XAI,1.05,2,2025-02-24,0,3.304,3.366,3.335
13,R2XAI,0.95,2,2025-02-24,0,3.231,3.292,3.261
14,R2XAI,1.03,2,2025-02-24,0,3.056,3.114,3.085
15,R2XAI,1.06,2,2025-02-24,0,3.346,3.409,3.377
16,R2XAI,1.03,2,2025-02-24,0,3.436,3.501,3.468
17,R2XAI,1.04,2,2025-02-24,0,3.303,3.365,3.334
18,R2XAI,1.03,2,2025-02-24,0,3.258,3.32,3.289
19,R2XAI,1.01,2,2025-02-24,0,3.17,3.23,3.199
20,R2XAI,1.09,2,2025-02-24,0,3.26,3.322,3.291
21,R2XAI,1.02,2,2025-02-24,0,3.238,3.3,3.269
22,R2XAI,1.03,2,2025-02-24,0,3.337,3.4,3.368
23,R2XAI,1,2,2025-02-24,0,3.191,3.251,3.221
24,R2XAI,1.07,2,2025-02-24,0,3.142,3.202,3.172
25,R2XAI,1.06,2,2025-02-24,0,3.171,3.231,3.2
26,R2XAI,1.05,2,2025-02-24,0,3.255,3.316,3.285
27,R2XAI,1.08,2,2025-02-24,0,3.191,3.252,3.221
28,R2XAI,1.04,2,2025-02-24,0,3.121,3.18,3.15
29,R2XAI,1.09,2,2025-02-24,0,3.117,3.176,3.147
30,R2XAI,1.02,2,2025-02-24,0,3.237,3.299,3.268
31,R2XAI,1.02,2,2025-02-24,0,3.061,3.119,3.089
32,R2XAI,1.06,2,2025-02-24,0,3.291,3.353,3.322
33,R2XAI,0.96,2,2025-02-24,0,3.281,3.343,3.312
34,R2XAI,1.03,2,2025-02-24,0,3.171,3.231,3.201
35,R2XAI,1.04,2,2025-02-24,0,3.224,3.285,3.255
36,R2XAI,1.03,2,2025-02-24,0,3.547,3.614,3.58
37,R2XAI,1.04,2,2025-02-24,0,3.161,3.221,3.191
38,R2XAI,1.02,2,2025-02-24,0,3.197,3.257,3.227
39,R2XAI,1.02,2,2025-02-24,0,3.239,3.3,3.27
40,R2XAI,1.1,2,2025-02-24,0,3.152,3.212,3.182
41,R2XAI,0.96,2,2025-02-24,0,3.278,3.34,3.308
42,R2XAI,1.03,2,2025-02-24,0,3.127,3.186,3.157
43,R2XAI,1.08,2,2025-02-24,0,3.124,3.183,3.153
44,R2XAI,1.06,2,2025-02-24,0,3.192,3.252,3.222
45,R2XAI,1.06,2,2025-02-24,0,3.211,3.272,3.241
46,R2XAI,1.07,2,2025-02-24,0,3.23,3.291,3.26
47,R2XAI,1.03,2,2025-02-24,0,3.153,3.213,3.183
48,R2XAI,1.12,2,2025-02-24,0,3.185,3.245,3.215
