num,id,length,brood,date,code,perim,perim2,perim3
1,SF9AX,1.04,2,2025-02-22,0,3.44,3.506,3.473
2,SF9AX,1.12,2,2025-02-22,0,3.069,3.127,3.098
3,SF9AX,0.97,2,2025-02-22,0,3.081,3.139,3.11
4,SF9AX,1.02,2,2025-02-22,0,3.212,3.273,3.242
5,SF9AX,1.04,2,2025-02-22,0,3.246,3.307,3.276
6,SF9AX,1.1,2,2025-02-22,0,3.125,3.184,3.154
7,SF9AX,1.05,2,2025-02-22,0,2.925,2.981,2.953
8,SF9AX,0.97,2,2025-02-22,0,3.056,3.114,3.085
9,SF9AX,1.11,2,2025-02-22,0,3.245,3.306,3.275
10,SF9AX,1.05,2,2025-02-22,0,3.137,3.196,3.167
11,SF9AX,1.01,2,2025-02-22,0,2.914,2.969,2.941
12,SF9AX,1.1,2,2025-02-22,1,3.058,3.115,3.086
13,SF9AX,1.03,2,2025-02-22,1,3.148,3.207,3.177
14,SF9AX,1.07,2,2025-02-22,1,3.11,3.168,3.139
15,SF9AX,1.04,2,2025-02-22,1,3.004,3.061,3.032
16,SF9AX,1.03,2,2025-02-22,1,3.018,3.075,3.046
17,SF9AX,1.11,2,2025-02-22,1,3.227,3.288,3.257
18,SF9AX,1.04,2,2025-02-22,1,2.572,2.621,2.596
19,SF9AX,1.09,2,2025-02-22,1,3.374,3.437,3.405
20,SF9AX,1.1,2,2025-02-22,1,3.069,3.127,3.098
21,SF9AX,1,2,2025-02-22,1,3.081,3.139,3.11
22,SF9AX,1.06,2,2025-02-22,1,3.153,3.213,3.183
23,SF9AX,1.02,2,2025-02-22,1,3.299,3.361,3.33
24,SF9AX,1.09,2,2025-02-22,1,3.112,3.171,3.141
25,SF9AX,0.86,2,2025-02-22,1,3.115,3.174,3.144
26,SF9AX,1.06,2,2025-02-22,1,3.149,3.209,3.179
27,SF9AX,1.05,2,2025-02-22,1,2.975,3.031,3.002
28,SF9AX,1.01,2,2025-02-22,1,3.174,3.234,3.204
