num,id,length,brood,date,code,perim,perim2,perim3
1,SW5Z4,1.03,1,2024-11-27,0,3.093,3.151,3.122
2,SW5Z4,1.06,1,2024-11-27,0,3.097,3.156,3.126
3,SW5Z4,1.08,1,2024-11-27,0,3.141,3.201,3.171
4,SW5Z4,1.05,1,2024-11-27,0,3.198,3.258,3.228
5,SW5Z4,1.08,1,2024-11-27,0,3.105,3.164,3.134
6,SW5Z4,1.08,1,2024-11-27,0,3.106,3.165,3.135
7,SW5Z4,1.11,1,2024-11-27,0,3.072,3.13,3.1
8,SW5Z4,1.07,1,2024-11-27,0,3.108,3.166,3.137
9,SW5Z4,1.13,1,2024-11-27,0,3.115,3.174,3.144
10,SW5Z4,1.06,1,2024-11-27,0,3.119,3.178,3.149
11,SW5Z4,1.08,1,2024-11-27,0,3.075,3.133,3.104
12,SW5Z4,1.1,1,2024-11-27,0,3.132,3.191,3.162
13,SW5Z4,1.04,1,2024-11-27,0,3.059,3.117,3.088
14,SW5Z4,1.09,1,2024-11-27,0,3.119,3.178,3.148
15,SW5Z4,1.06,1,2024-11-27,0,3.109,3.167,3.138
16,SW5Z4,1.08,1,2024-11-27,0,3.174,3.234,3.204
17,SW5Z4,1.09,1,2024-11-27,0,3.168,3.228,3.198
18,SW5Z4,1.12,1,2024-11-27,0,3.083,3.142,3.112
19,SW5Z4,1.08,1,2024-11-27,0,3.142,3.202,3.172
20,SW5Z4,1.08,1,2024-11-27,0,3.174,3.234,3.204
21,SW5Z4,1.09,1,2024-11-27,0,3.138,3.197,3.167
22,SW5Z4,1.13,1,2024-11-27,0,3.201,3.261,3.231
23,SW5Z4,1.11,1,2024-11-27,0,3.256,3.317,3.286
24,SW5Z4,1.1,1,2024-11-27,0,3.279,3.341,3.31
25,SW5Z4,1.13,1,2024-11-27,0,3.271,3.333,3.302
26,SW5Z4,1.1,1,2024-11-27,0,3.256,3.317,3.286
27,SW5Z4,1.13,1,2024-11-27,0,3.299,3.362,3.33
28,SW5Z4,1.11,1,2024-11-27,0,3.337,3.4,3.368
29,SW5Z4,1.11,1,2024-11-27,0,3.284,3.346,3.315
30,SW5Z4,1.13,1,2024-11-27,0,3.258,3.32,3.289
31,SW5Z4,1.11,1,2024-11-27,0,3.263,3.325,3.294
32,SW5Z4,1.14,1,2024-11-27,0,3.248,3.309,3.278
33,SW5Z4,1.12,1,2024-11-27,0,3.191,3.251,3.221
34,SW5Z4,1.14,1,2024-11-27,0,3.286,3.348,3.317
35,SW5Z4,1.13,1,2024-11-27,0,3.259,3.32,3.289
36,SW5Z4,1.13,1,2024-11-27,0,3.251,3.313,3.282
37,SW5Z4,1.14,1,2024-11-27,0,3.402,3.466,3.434
38,SW5Z4,1.13,1,2024-11-27,0,3.275,3.337,3.306
