num,id,length,brood,date,code,perim,perim2,perim3
1,V16AG,1.27,1,2024-10-29,0,3.541,3.554,3.567
2,V16AG,1.21,1,2024-10-29,0,3.539,3.552,3.565
3,V16AG,1.24,1,2024-10-29,0,3.427,3.439,3.452
4,V16AG,1.28,1,2024-10-29,0,3.428,3.441,3.454
5,V16AG,1.22,1,2024-10-29,0,3.564,3.577,3.591
6,V16AG,1.29,1,2024-10-29,0,3.682,3.696,3.709
7,V16AG,1.25,1,2024-10-29,0,3.548,3.561,3.574
8,V16AG,1.19,1,2024-10-29,0,3.453,3.465,3.478
9,V16AG,1.25,1,2024-10-29,0,3.431,3.444,3.456
10,V16AG,1.29,1,2024-10-29,0,3.522,3.535,3.548
11,V16AG,1.23,1,2024-10-29,0,3.642,3.655,3.669
12,V16AG,1.2,1,2024-10-29,0,3.556,3.569,3.582
13,V16AG,1.23,1,2024-10-29,0,3.574,3.587,3.6
14,V16AG,1.21,1,2024-10-29,0,3.427,3.439,3.452
15,V16AG,1.24,1,2024-10-29,0,3.532,3.545,3.558
16,V16AG,1.22,1,2024-10-29,0,3.42,3.433,3.446
17,V16AG,1.21,1,2024-10-29,0,3.571,3.584,3.598
18,V16AG,1.25,1,2024-10-29,0,3.528,3.541,3.554
19,V16AG,1.24,1,2024-10-29,0,3.554,3.567,3.58
20,V16AG,1.28,1,2024-10-29,0,3.496,3.509,3.522
21,V16AG,1.25,1,2024-10-29,0,3.509,3.522,3.535
22,V16AG,1.21,1,2024-10-29,0,3.463,3.476,3.489
23,V16AG,1.18,1,2024-10-29,0,3.571,3.584,3.598
24,V16AG,1.18,1,2024-10-29,0,3.478,3.491,3.504
25,V16AG,1.25,1,2024-10-29,0,3.461,3.474,3.487
26,V16AG,1.28,1,2024-10-29,0,3.455,3.468,3.481
27,V16AG,1.24,1,2024-10-29,0,3.44,3.453,3.465
28,V16AG,1.24,1,2024-10-29,0,3.491,3.504,3.517
29,V16AG,1.23,1,2024-10-29,0,3.591,3.604,3.617
30,V16AG,1.25,1,2024-10-29,0,3.475,3.488,3.5
31,V16AG,1.24,1,2024-10-29,0,3.64,3.654,3.667
32,V16AG,1.24,1,2024-10-29,0,3.515,3.528,3.541
33,V16AG,1.24,1,2024-10-29,0,3.559,3.572,3.585
34,V16AG,1.23,1,2024-10-29,0,3.539,3.552,3.565
35,V16AG,1.21,1,2024-10-29,0,3.593,3.606,3.619
36,V16AG,1.22,1,2024-10-29,0,3.554,3.567,3.58
37,V16AG,1.16,1,2024-10-29,0,3.527,3.54,3.553
38,V16AG,1.24,1,2024-10-29,0,3.554,3.567,3.581
39,V16AG,1.26,1,2024-10-29,0,3.52,3.532,3.546
40,V16AG,1.23,1,2024-10-29,0,3.562,3.576,3.589
41,V16AG,1.25,1,2024-10-29,0,3.455,3.468,3.481
42,V16AG,1.25,1,2024-10-29,0,3.631,3.645,3.658
43,V16AG,1.2,1,2024-10-29,0,3.442,3.454,3.467
44,V16AG,1.22,1,2024-10-29,0,3.625,3.638,3.652
45,V16AG,1.21,1,2024-10-29,0,3.643,3.656,3.67
46,V16AG,1.22,1,2024-10-29,0,3.46,3.472,3.485
47,V16AG,1.2,1,2024-10-29,0,3.583,3.596,3.609
48,V16AG,1.19,1,2024-10-29,0,3.541,3.554,3.567
49,V16AG,1.26,1,2024-10-29,0,3.565,3.578,3.591
50,V16AG,1.24,1,2024-10-29,0,3.527,3.54,3.553
51,V16AG,1.24,1,2024-10-29,0,3.562,3.576,3.589
52,V16AG,1.24,1,2024-10-29,0,3.527,3.54,3.553
53,V16AG,1.24,1,2024-10-29,0,3.576,3.589,3.602
54,V16AG,1.2,1,2024-10-29,0,3.52,3.532,3.546
55,V16AG,1.18,1,2024-10-29,0,3.604,3.617,3.63
56,V16AG,1.21,1,2024-10-29,0,3.61,3.623,3.636
57,V16AG,1.21,1,2024-10-29,0,3.576,3.589,3.602
58,V16AG,1.28,1,2024-10-29,0,3.649,3.662,3.676
59,V16AG,1.16,1,2024-10-29,0,3.46,3.472,3.485
60,V16AG,1.18,1,2024-10-29,0,3.507,3.52,3.533
61,V16AG,1.26,1,2024-10-29,0,3.655,3.669,3.682
62,V16AG,1.24,1,2024-10-29,0,3.515,3.528,3.541
63,V16AG,1.23,1,2024-10-29,0,3.658,3.671,3.685
64,V16AG,1.2,1,2024-10-29,0,3.429,3.442,3.455
65,V16AG,1.24,1,2024-10-29,0,3.436,3.448,3.461
66,V16AG,1.24,1,2024-10-29,0,3.513,3.526,3.539
67,V16AG,1.27,1,2024-10-29,0,3.587,3.6,3.613
68,V16AG,1.23,1,2024-10-29,0,3.602,3.615,3.628
69,V16AG,1.23,1,2024-10-29,0,3.446,3.459,3.472
