num,id,length,brood,date,code,perim,perim2,perim3
1,VUSEL,1.29,1,2024-11-22,0,3.927,4.001,3.964
2,VUSEL,1.33,1,2024-11-22,0,3.758,3.829,3.793
3,VUSEL,1.27,1,2024-11-22,0,3.954,4.028,3.991
4,VUSEL,1.25,1,2024-11-22,0,3.685,3.755,3.72
5,VUSEL,1.25,1,2024-11-22,0,3.878,3.951,3.914
6,VUSEL,1.29,1,2024-11-22,0,3.73,3.801,3.765
7,VUSEL,1.31,1,2024-11-22,0,4.085,4.162,4.123
8,VUSEL,1.35,1,2024-11-22,0,3.712,3.783,3.747
9,VUSEL,1.3,1,2024-11-22,0,3.742,3.813,3.777
10,VUSEL,1.26,1,2024-11-22,0,3.883,3.956,3.92
11,VUSEL,1.26,1,2024-11-22,0,3.777,3.849,3.813
12,VUSEL,1.3,1,2024-11-22,0,3.856,3.929,3.893
13,VUSEL,1.28,1,2024-11-22,0,3.779,3.851,3.815
14,VUSEL,1.29,1,2024-11-22,0,3.783,3.854,3.818
15,VUSEL,1.26,1,2024-11-22,0,3.753,3.824,3.788
16,VUSEL,1.3,1,2024-11-22,0,3.785,3.857,3.821
17,VUSEL,1.33,1,2024-11-22,0,3.797,3.869,3.833
18,VUSEL,1.3,1,2024-11-22,0,3.727,3.798,3.762
19,VUSEL,1.28,1,2024-11-22,0,3.688,3.758,3.723
20,VUSEL,1.29,1,2024-11-22,0,3.84,3.912,3.876
21,VUSEL,1.32,1,2024-11-22,0,4.054,4.131,4.092
22,VUSEL,1.27,1,2024-11-22,0,3.856,3.928,3.892
23,VUSEL,1.3,1,2024-11-22,0,3.888,3.961,3.924
24,VUSEL,1.27,1,2024-11-22,0,3.947,4.022,3.984
25,VUSEL,1.29,1,2024-11-22,0,3.695,3.765,3.73
26,VUSEL,1.28,1,2024-11-22,0,3.736,3.807,3.771
27,VUSEL,1.26,1,2024-11-22,0,3.844,3.916,3.88
28,VUSEL,1.35,1,2024-11-22,0,3.856,3.929,3.893
29,VUSEL,1.28,1,2024-11-22,0,3.815,3.887,3.851
30,VUSEL,1.31,1,2024-11-22,0,4.117,4.195,4.156
31,VUSEL,1.27,1,2024-11-22,0,3.653,3.722,3.688
32,VUSEL,1.28,1,2024-11-22,0,3.994,4.069,4.031
33,VUSEL,1.23,1,2024-11-22,0,3.954,4.029,3.992
34,VUSEL,1.28,1,2024-11-22,0,3.768,3.839,3.803
35,VUSEL,1.3,1,2024-11-22,0,3.906,3.98,3.942
36,VUSEL,1.29,1,2024-11-22,0,3.931,4.005,3.968
37,VUSEL,1.3,1,2024-11-22,0,3.838,3.911,3.874
38,VUSEL,1.27,1,2024-11-22,0,4.042,4.119,4.08
39,VUSEL,1.26,1,2024-11-22,0,3.77,3.842,3.806
40,VUSEL,1.23,1,2024-11-22,0,3.75,3.821,3.786
41,VUSEL,1.3,1,2024-11-22,0,3.812,3.884,3.848
42,VUSEL,1.19,1,2024-11-22,0,3.717,3.787,3.752
43,VUSEL,1.28,1,2024-11-22,0,3.982,4.057,4.019
44,VUSEL,1.29,1,2024-11-22,0,3.788,3.86,3.824
45,VUSEL,1.29,1,2024-11-22,0,3.752,3.823,3.787
46,VUSEL,1.31,1,2024-11-22,0,3.856,3.928,3.892
47,VUSEL,1.33,1,2024-11-22,0,3.797,3.869,3.832
48,VUSEL,1.23,1,2024-11-22,0,3.781,3.853,3.817
49,VUSEL,1.26,1,2024-11-22,0,3.77,3.841,3.805
50,VUSEL,1.28,1,2024-11-22,0,3.902,3.975,3.938
51,VUSEL,1.27,1,2024-11-22,0,3.726,3.796,3.761
52,VUSEL,1.26,1,2024-11-22,0,3.872,3.946,3.909
53,VUSEL,1.3,1,2024-11-22,0,3.789,3.861,3.825
54,VUSEL,1.26,1,2024-11-22,0,3.799,3.871,3.835
55,VUSEL,1.32,1,2024-11-22,0,3.826,3.899,3.862
56,VUSEL,1.31,1,2024-11-22,0,3.792,3.864,3.828
57,VUSEL,1.31,1,2024-11-22,0,3.76,3.831,3.795
58,VUSEL,1.33,1,2024-11-22,0,3.708,3.778,3.743
59,VUSEL,1.27,1,2024-11-22,0,3.846,3.919,3.882
60,VUSEL,1.25,1,2024-11-22,0,3.774,3.846,3.81
61,VUSEL,,1,2024-11-22,0,3.88,3.954,3.917
