num,id,length,brood,date,code,perim,perim2,perim3
1,XCLRC,1.24,2,2025-02-04,0,3.605,3.673,3.638
2,XCLRC,1.21,2,2025-02-04,0,3.519,3.586,3.552
3,XCLRC,1.22,2,2025-02-04,0,3.696,3.766,3.73
4,XCLRC,1.25,2,2025-02-04,0,3.714,3.784,3.749
5,XCLRC,1.23,2,2025-02-04,0,3.536,3.603,3.569
6,XCLRC,1.21,2,2025-02-04,0,3.744,3.815,3.78
7,XCLRC,1.26,2,2025-02-04,0,3.679,3.748,3.713
8,XCLRC,1.23,2,2025-02-04,0,3.463,3.528,3.495
9,XCLRC,1.22,2,2025-02-04,0,3.622,3.69,3.656
10,XCLRC,1.22,2,2025-02-04,0,3.619,3.688,3.653
11,XCLRC,1.19,2,2025-02-04,0,3.529,3.596,3.562
12,XCLRC,1.1,2,2025-02-04,0,3.66,3.73,3.695
