num,id,length,brood,date,code,perim,perim2,perim3
1,XNQUK,1.17,1,2024-11-27,0,3.372,3.436,3.404
2,XNQUK,1.15,1,2024-11-27,0,3.393,3.457,3.425
3,XNQUK,1.18,1,2024-11-27,0,3.396,3.461,3.428
4,XNQUK,1.1,1,2024-11-27,0,3.6,3.668,3.634
5,XNQUK,1.18,1,2024-11-27,0,3.358,3.421,3.389
6,XNQUK,1.16,1,2024-11-27,0,3.583,3.65,3.616
7,XNQUK,1.18,1,2024-11-27,0,3.379,3.443,3.411
8,XNQUK,1.21,1,2024-11-27,0,3.522,3.589,3.555
9,XNQUK,1.19,1,2024-11-27,0,3.706,3.776,3.741
10,XNQUK,1.18,1,2024-11-27,0,3.356,3.42,3.388
11,XNQUK,1.15,1,2024-11-27,0,3.515,3.582,3.548
12,XNQUK,1.17,1,2024-11-27,0,3.577,3.644,3.61
13,XNQUK,1.19,1,2024-11-27,0,3.731,3.802,3.766
14,XNQUK,1.18,1,2024-11-27,0,3.543,3.61,3.576
15,XNQUK,1.15,1,2024-11-27,0,3.44,3.505,3.472
16,XNQUK,1.17,1,2024-11-27,0,3.53,3.597,3.564
17,XNQUK,1.16,1,2024-11-27,0,3.524,3.59,3.557
18,XNQUK,1.22,1,2024-11-27,0,3.505,3.571,3.538
19,XNQUK,1.18,1,2024-11-27,0,3.66,3.73,3.695
20,XNQUK,1.15,1,2024-11-27,0,3.369,3.433,3.401
21,XNQUK,1.16,1,2024-11-27,0,3.478,3.543,3.51
22,XNQUK,1.19,1,2024-11-27,0,3.441,3.506,3.474
23,XNQUK,1.14,1,2024-11-27,0,3.468,3.533,3.5
24,XNQUK,1.19,1,2024-11-27,0,3.461,3.527,3.494
25,XNQUK,1.15,1,2024-11-27,0,3.289,3.351,3.32
26,XNQUK,1.18,1,2024-11-27,0,3.568,3.636,3.602
27,XNQUK,1.14,1,2024-11-27,0,3.319,3.382,3.351
28,XNQUK,1.16,1,2024-11-27,0,3.491,3.557,3.523
29,XNQUK,1.14,1,2024-11-27,0,3.448,3.513,3.48
30,XNQUK,1.14,1,2024-11-27,0,3.404,3.468,3.436
31,XNQUK,1.2,1,2024-11-27,0,3.363,3.427,3.395
32,XNQUK,1.19,1,2024-11-27,0,3.431,3.495,3.463
33,XNQUK,1.21,1,2024-11-27,0,3.464,3.53,3.497
34,XNQUK,1.15,1,2024-11-27,0,3.612,3.68,3.646
35,XNQUK,1.19,1,2024-11-27,0,3.521,3.587,3.554
36,XNQUK,1.2,1,2024-11-27,0,3.561,3.628,3.595
37,XNQUK,1.19,1,2024-11-27,0,3.288,3.35,3.318
38,XNQUK,1.17,1,2024-11-27,0,3.539,3.606,3.573
39,XNQUK,1.14,1,2024-11-27,0,3.505,3.571,3.538
