num,id,length,brood,date,code,perim,perim2,perim3
1,XZG4C,1.13,2,2024-12-18,0,3.47,3.536,3.503
2,XZG4C,1.15,2,2024-12-18,0,3.366,3.43,3.398
3,XZG4C,1.16,2,2024-12-18,0,3.433,3.498,3.465
4,XZG4C,1.11,2,2024-12-18,0,3.253,3.314,3.283
5,XZG4C,1,2,2024-12-18,0,3.3,3.362,3.331
6,XZG4C,1.09,2,2024-12-18,0,3.416,3.481,3.448
7,XZG4C,1.11,2,2024-12-18,0,3.233,3.294,3.263
8,XZG4C,1.11,2,2024-12-18,0,3.28,3.342,3.311
9,XZG4C,1.14,2,2024-12-18,0,3.313,3.376,3.344
10,XZG4C,1.14,2,2024-12-18,0,3.334,3.397,3.366
11,XZG4C,1.12,2,2024-12-18,0,3.466,3.532,3.499
12,XZG4C,1.13,2,2024-12-18,0,3.403,3.467,3.435
13,XZG4C,1.13,2,2024-12-18,0,3.375,3.438,3.406
14,XZG4C,1.13,2,2024-12-18,0,3.25,3.312,3.281
15,XZG4C,1.13,2,2024-12-18,0,3.33,3.393,3.361
16,XZG4C,1.16,2,2024-12-18,0,3.28,3.342,3.311
17,XZG4C,1.13,2,2024-12-18,0,3.405,3.469,3.437
18,XZG4C,1.1,2,2024-12-18,0,3.324,3.387,3.355
19,XZG4C,1.07,2,2024-12-18,0,3.575,3.643,3.609
20,XZG4C,1.12,2,2024-12-18,0,3.45,3.515,3.482
21,XZG4C,1.08,2,2024-12-18,0,3.424,3.489,3.457
22,XZG4C,1.1,2,2024-12-18,0,3.127,3.186,3.156
23,XZG4C,1.1,2,2024-12-18,0,3.35,3.414,3.382
24,XZG4C,1.12,2,2024-12-18,0,3.315,3.377,3.346
25,XZG4C,1.11,2,2024-12-18,0,3.24,3.301,3.271
26,XZG4C,1.11,2,2024-12-18,0,3.33,3.393,3.362
27,XZG4C,1.11,2,2024-12-18,0,3.483,3.549,3.516
28,XZG4C,1.15,2,2024-12-18,0,3.332,3.395,3.363
29,XZG4C,1.13,2,2024-12-18,0,3.373,3.437,3.405
30,XZG4C,1.13,2,2024-12-18,0,3.314,3.377,3.345
31,XZG4C,1.14,2,2024-12-18,0,3.402,3.466,3.434
32,XZG4C,1.17,2,2024-12-18,0,3.438,3.503,3.47
33,XZG4C,1.16,2,2024-12-18,0,3.302,3.365,3.333
34,XZG4C,1.12,2,2024-12-18,0,3.382,3.446,3.414
35,XZG4C,1.15,2,2024-12-18,0,3.483,3.548,3.515
36,XZG4C,1.08,2,2024-12-18,0,3.287,3.35,3.318
37,XZG4C,1.13,2,2024-12-18,0,3.253,3.314,3.283
38,XZG4C,1.14,2,2024-12-18,0,3.223,3.284,3.253
39,XZG4C,1.12,2,2024-12-18,0,3.38,3.444,3.412
40,XZG4C,1.09,2,2024-12-18,0,3.432,3.497,3.465
41,XZG4C,1.13,2,2024-12-18,0,3.374,3.437,3.405
42,XZG4C,1.11,2,2024-12-18,0,3.298,3.361,3.329
43,XZG4C,1.1,2,2024-12-18,0,3.436,3.501,3.468
44,XZG4C,1.08,2,2024-12-18,0,3.412,3.477,3.444
45,XZG4C,1.14,2,2024-12-18,0,3.295,3.357,3.326
46,XZG4C,1.14,2,2024-12-18,0,3.293,3.355,3.324
47,XZG4C,1.08,2,2024-12-18,0,3.123,3.182,3.152
48,XZG4C,1.13,2,2024-12-18,0,3.447,3.512,3.479
49,XZG4C,1.13,2,2024-12-18,0,3.283,3.345,3.313
50,XZG4C,1.06,2,2024-12-18,0,3.327,3.39,3.358
51,XZG4C,1.1,2,2024-12-18,0,3.339,3.402,3.37
52,XZG4C,1.13,2,2024-12-18,0,3.442,3.507,3.475
53,XZG4C,1.12,2,2024-12-18,0,3.306,3.368,3.337
54,XZG4C,1.12,2,2024-12-18,0,3.492,3.558,3.525
55,XZG4C,1.14,2,2024-12-18,0,3.582,3.65,3.616
56,XZG4C,1.07,2,2024-12-18,0,3.28,3.342,3.311
57,XZG4C,1.07,2,2024-12-18,0,3.52,3.587,3.553
58,XZG4C,1.11,2,2024-12-18,0,3.288,3.351,3.319
59,XZG4C,1.13,2,2024-12-18,0,3.283,3.345,3.314
60,XZG4C,1.13,2,2024-12-18,0,3.415,3.479,3.447
61,XZG4C,1.05,2,2024-12-18,0,3.4,3.465,3.432
62,XZG4C,1.15,2,2024-12-18,1,3.463,3.528,3.495
63,XZG4C,1.15,2,2024-12-18,1,3.342,3.405,3.373
64,XZG4C,1.19,2,2024-12-18,1,3.542,3.609,3.575
