num,id,length,brood,date,code,perim,perim2,perim3
1,Y211M,1.24,2,2025-02-04,0,3.306,3.368,3.337
2,Y211M,1.21,2,2025-02-04,0,3.756,3.825,3.79
3,Y211M,1.22,2,2025-02-04,0,3.512,3.578,3.545
4,Y211M,1.25,2,2025-02-04,0,3.39,3.454,3.422
5,Y211M,1.23,2,2025-02-04,0,3.32,3.383,3.352
6,Y211M,1.21,2,2025-02-04,0,3.253,3.315,3.284
7,Y211M,1.26,2,2025-02-04,0,3.454,3.519,3.486
8,Y211M,1.23,2,2025-02-04,0,3.376,3.439,3.407
9,Y211M,1.22,2,2025-02-04,0,3.385,3.449,3.417
10,Y211M,1.22,2,2025-02-04,0,3.475,3.541,3.508
11,Y211M,1.19,2,2025-02-04,0,3.531,3.598,3.564
12,Y211M,1.1,2,2025-02-04,0,3.36,3.423,3.391
13,Y211M,1.14,2,2025-02-04,0,3.362,3.425,3.393
14,Y211M,1.24,2,2025-02-04,0,3.383,3.447,3.415
15,Y211M,1.14,2,2025-02-04,0,3.337,3.4,3.369
16,Y211M,1.13,2,2025-02-04,0,3.282,3.344,3.313
17,Y211M,1.13,2,2025-02-04,0,3.393,3.457,3.425
18,Y211M,1.17,2,2025-02-04,0,3.584,3.652,3.617
19,Y211M,1.17,2,2025-02-04,0,3.273,3.335,3.304
20,Y211M,1.14,2,2025-02-04,0,3.419,3.484,3.451
21,Y211M,1.16,2,2025-02-04,0,3.33,3.393,3.362
22,Y211M,1.14,2,2025-02-04,0,3.25,3.312,3.281
23,Y211M,1.15,2,2025-02-04,0,3.321,3.384,3.352
24,Y211M,1.15,2,2025-02-04,0,3.284,3.346,3.315
25,Y211M,1.11,2,2025-02-04,0,3.742,3.813,3.777
26,Y211M,1.13,2,2025-02-04,0,3.29,3.352,3.321
27,Y211M,1.12,2,2025-02-04,0,3.491,3.557,3.524
28,Y211M,1.16,2,2025-02-04,0,3.248,3.309,3.278
29,Y211M,1.14,2,2025-02-04,0,3.499,3.565,3.532
30,Y211M,1.12,2,2025-02-04,0,3.321,3.384,3.352
31,Y211M,1.15,2,2025-02-04,0,3.373,3.437,3.405
32,Y211M,1.12,2,2025-02-04,0,3.516,3.583,3.549
33,Y211M,1.17,2,2025-02-04,0,3.343,3.407,3.375
34,Y211M,1.15,2,2025-02-04,0,3.575,3.643,3.609
35,Y211M,1.11,2,2025-02-04,0,3.328,3.391,3.359
36,Y211M,1.11,2,2025-02-04,0,3.256,3.318,3.287
37,Y211M,1.13,2,2025-02-04,0,3.32,3.383,3.351
38,Y211M,1.12,2,2025-02-04,0,3.205,3.265,3.235
39,Y211M,1.15,2,2025-02-04,0,3.222,3.283,3.252
