num,id,length,brood,date,code,perim,perim2,perim3
1,ZKOEN,1.23,1,2024-11-14,0,3.367,3.394,3.392
2,ZKOEN,1.24,1,2024-11-14,0,3.474,3.502,3.515
3,ZKOEN,1.24,1,2024-11-14,0,3.479,3.54,3.594
4,ZKOEN,1.25,1,2024-11-14,0,3.454,3.467,3.48
5,ZKOEN,1.22,1,2024-11-14,0,3.503,3.552,3.581
6,ZKOEN,1.23,1,2024-11-14,0,3.52,3.563,3.591
7,ZKOEN,1.25,1,2024-11-14,0,3.405,3.444,3.456
8,ZKOEN,1.24,1,2024-11-14,0,3.522,3.602,3.6
9,ZKOEN,1.21,1,2024-11-14,0,3.494,3.522,3.535
10,ZKOEN,1.24,1,2024-11-14,0,3.487,3.411,3.409
11,ZKOEN,1.22,1,2024-11-14,0,3.496,3.52,3.533
12,ZKOEN,1.23,1,2024-11-14,0,3.513,3.526,3.539
13,ZKOEN,1.2,1,2024-11-14,0,3.537,3.535,3.548
14,ZKOEN,1.2,1,2024-11-14,0,3.636,3.597,3.61
15,ZKOEN,1.24,1,2024-11-14,0,3.448,3.524,3.537
16,ZKOEN,1.24,1,2024-11-14,0,3.503,3.546,3.559
17,ZKOEN,1.25,1,2024-11-14,0,3.478,3.606,3.619
18,ZKOEN,1.23,1,2024-11-14,0,3.562,3.522,3.519
19,ZKOEN,1.22,1,2024-11-14,0,3.438,3.466,3.464
20,ZKOEN,1.19,1,2024-11-14,0,3.481,3.546,3.559
21,ZKOEN,1.19,1,2024-11-14,0,3.436,3.448,3.487
22,ZKOEN,1.24,1,2024-11-14,0,3.511,3.534,3.563
23,ZKOEN,1.25,1,2024-11-14,0,3.442,3.522,3.535
24,ZKOEN,1.21,1,2024-11-14,0,3.46,3.472,3.47
25,ZKOEN,1.13,1,2024-11-14,0,3.453,3.477,3.49
26,ZKOEN,1.25,1,2024-11-14,0,3.904,3.962,3.976
27,ZKOEN,1.22,1,2024-11-14,0,3.477,3.515,3.528
28,ZKOEN,1.26,1,2024-11-14,0,3.511,3.554,3.552
29,ZKOEN,1.26,1,2024-11-14,0,3.567,3.565,3.578
30,ZKOEN,1.21,1,2024-11-14,0,3.474,3.487,3.5
31,ZKOEN,1.26,1,2024-11-14,0,3.401,3.48,3.467
32,ZKOEN,1.23,1,2024-11-14,0,3.541,3.591,3.604
33,ZKOEN,1.22,1,2024-11-14,0,3.686,3.805,3.808
34,ZKOEN,1.21,1,2024-11-14,0,3.472,3.485,3.498
35,ZKOEN,1.21,1,2024-11-14,0,3.394,3.444,3.472
36,ZKOEN,1.22,1,2024-11-14,0,3.239,3.277,3.289
37,ZKOEN,1.24,1,2024-11-14,0,3.478,3.491,3.504
38,ZKOEN,1.27,1,2024-11-14,0,3.478,3.524,3.537
39,ZKOEN,1.23,1,2024-11-14,0,3.397,3.472,3.485
40,ZKOEN,1.24,1,2024-11-14,0,3.51,3.522,3.535
41,ZKOEN,1.22,1,2024-11-14,0,3.246,3.299,3.311
