num,id,length,brood,date,code,perim,perim2,perim3
1,ZV3ZK,1.08,1,2024-11-26,0,3.318,3.381,3.349
2,ZV3ZK,1.07,1,2024-11-26,0,3.243,3.305,3.274
3,ZV3ZK,0.88,1,2024-11-26,0,3.272,3.334,3.302
4,ZV3ZK,1.12,1,2024-11-26,0,3.362,3.425,3.393
5,ZV3ZK,1.12,1,2024-11-26,0,3.368,3.432,3.4
6,ZV3ZK,1.06,1,2024-11-26,0,3.159,3.219,3.189
7,ZV3ZK,1.06,1,2024-11-26,0,3.408,3.472,3.44
8,ZV3ZK,1.08,1,2024-11-26,0,3.273,3.335,3.304
9,ZV3ZK,1.05,1,2024-11-26,0,3.377,3.441,3.409
10,ZV3ZK,1.11,1,2024-11-26,0,3.307,3.369,3.338
11,ZV3ZK,0.79,1,2024-11-26,0,3.327,3.39,3.358
12,ZV3ZK,1.09,1,2024-11-26,0,3.286,3.348,3.317
13,ZV3ZK,1.08,1,2024-11-26,0,3.277,3.339,3.307
14,ZV3ZK,1.1,1,2024-11-26,0,3.305,3.368,3.336
15,ZV3ZK,1.08,1,2024-11-26,0,3.255,3.316,3.285
16,ZV3ZK,1.1,1,2024-11-26,0,3.201,3.262,3.231
17,ZV3ZK,1.1,1,2024-11-26,0,3.436,3.501,3.468
18,ZV3ZK,1.09,1,2024-11-26,0,3.306,3.368,3.337
19,ZV3ZK,1.11,1,2024-11-26,0,3.359,3.423,3.391
20,ZV3ZK,1.08,1,2024-11-26,0,2.706,2.757,2.731
21,ZV3ZK,1.06,1,2024-11-26,0,3.318,3.381,3.349
22,ZV3ZK,1.11,1,2024-11-26,0,3.334,3.397,3.366
23,ZV3ZK,1.11,1,2024-11-26,0,3.262,3.324,3.292
24,ZV3ZK,1.08,1,2024-11-26,0,3.232,3.293,3.262
25,ZV3ZK,1.07,1,2024-11-26,0,3.275,3.337,3.306
26,ZV3ZK,1.09,1,2024-11-26,0,3.272,3.334,3.303
27,ZV3ZK,1.09,1,2024-11-26,0,3.378,3.442,3.41
28,ZV3ZK,1.1,1,2024-11-26,0,2.953,3.009,2.981
29,ZV3ZK,1.13,1,2024-11-26,0,3.463,3.528,3.495
30,ZV3ZK,1.1,1,2024-11-26,0,3.399,3.464,3.431
31,ZV3ZK,1.06,1,2024-11-26,0,3.219,3.28,3.25
32,ZV3ZK,1.09,1,2024-11-26,0,3.285,3.347,3.316
33,ZV3ZK,1.11,1,2024-11-26,0,3.214,3.275,3.244
34,ZV3ZK,1.05,1,2024-11-26,0,3.255,3.316,3.285
35,ZV3ZK,1.08,1,2024-11-26,0,3.359,3.423,3.391
36,ZV3ZK,1.12,1,2024-11-26,0,3.295,3.357,3.326
37,ZV3ZK,1.11,1,2024-11-26,0,3.394,3.459,3.426
38,ZV3ZK,1.07,1,2024-11-26,0,3.379,3.443,3.411
39,ZV3ZK,1.13,1,2024-11-26,0,3.223,3.284,3.253
40,ZV3ZK,1.03,1,2024-11-26,0,3.36,3.423,3.391
41,ZV3ZK,1.08,1,2024-11-26,0,3.303,3.365,3.334
42,ZV3ZK,1.1,1,2024-11-26,0,3.355,3.419,3.387
43,ZV3ZK,1.1,1,2024-11-26,0,3.323,3.385,3.354
44,ZV3ZK,1.1,1,2024-11-26,0,3.274,3.336,3.305
45,ZV3ZK,1.09,1,2024-11-26,0,3.217,3.278,3.247
46,ZV3ZK,1.12,1,2024-11-26,0,3.268,3.329,3.298
47,ZV3ZK,1.11,1,2024-11-26,0,3.406,3.471,3.438
48,ZV3ZK,0.89,1,2024-11-26,0,3.349,3.413,3.381
49,ZV3ZK,1.1,1,2024-11-26,0,3.294,3.356,3.325
50,ZV3ZK,1.07,1,2024-11-26,0,3.296,3.358,3.327
51,ZV3ZK,1.1,1,2024-11-26,0,3.32,3.383,3.352
52,ZV3ZK,1.01,1,2024-11-26,0,3.292,3.355,3.323
53,ZV3ZK,1.09,1,2024-11-26,0,3.335,3.398,3.366
54,ZV3ZK,1.1,1,2024-11-26,0,3.373,3.437,3.405
55,ZV3ZK,1.08,1,2024-11-26,0,3.237,3.298,3.267
56,ZV3ZK,1.1,1,2024-11-26,0,2.822,2.875,2.848
57,ZV3ZK,1.07,1,2024-11-26,0,3.287,3.35,3.318
58,ZV3ZK,1.12,1,2024-11-26,0,3.269,3.33,3.299
59,ZV3ZK,1.1,1,2024-11-26,0,3.341,3.404,3.373
60,ZV3ZK,1.09,1,2024-11-26,0,3.284,3.346,3.315
