number,size,clutch
72,0.0006067,1
72,0.0006126,1
63,0.0005954,1
75,0.0006556,1
63,0.000603,1
64,0.0006065,1
71,0.0006684,1
67,0.0006558,1
59,0.0006963,1
67,0.0006277,1
64,0.0006564,1
67,0.0006477,1
74,0.0006236,1
76,0.0007506,1
50,0.0006372,1
50,0.0007023,1
66,0.0005848,1
65,0.0006208,1
77,0.000692,1
72,0.0007176,1
72,0.0006343,1
77,0.0006066,1
75,0.0006834,1
84,0.0006631,1
61,0.0005866,1
67,0.000681,1
47,0.000598,1
76,0.0006351,1
71,0.0005821,1
58,0.0005877,1
89,0.0006505,1
81,0.0005896,1
72,0.0005536,1
53,0.0006266,1
60,0.0006134,1
76,0.0007022,1
71,0.0005921,1
74,0.0005792,1
57,0.0006502,1
65,0.0006392,1
0,NA,2
0,NA,2
51,0.0005682,2
53,0.0006619,2
59,0.0005485,2
52,0.0005711,2
0,NA,2
63,0.0005366,2
54,0.0006415,2
35,0.0006253,2
53,0.0006447,2
26,0.0005693,2
48,0.0005541,2
36,0.0005384,2
41,0.000567,2
15,0.0008664,2
0,NA,2
0,NA,2
54,0.0006073,2
57,0.0005614,2
56,0.0005421,2
47,0.0007021,2
55,0.0005551,2
59,0.000684,2
0,NA,2
59,0.0005955,2
40,0.0006544,2
48,0.0005183,2
40,0.0006544,2
38,0.00075524,2
25,0.0006072,2
23,0.0005676,2
40,0.0005635,2
46,0.0005529,2
49,0.0006348,2
40,0.0006216,2
0,NA,2
42,0.0005023,2
43,0.0005401,2
49,0.0005586,2
