"id","brood","egg.number","mean.egg.size","pc1","mean.pro","mean.mass","mean.sci","egg_number_between","egg_number_within","egg_number_within_z","egg_number_between_z"
"1CHC9","one",37,3.61510810810811,-0.504717853787176,1.866,65.9333333333333,64.1357999874926,33.5,3.5,0.259295687576241,-0.719750447931247
"1CHC9","two",30,3.61431111111111,-0.504717853787176,1.866,65.9333333333333,64.1357999874926,33.5,-3.5,-0.259295687576241,-0.719750447931247
"2KNJE","one",38,3.52882456140351,-0.112522486541809,1.816,63.7,65.1265675045824,36.5,1.5,0.11112672324696,-0.488696800952044
"2KNJE","two",35,3.47453333333333,-0.112522486541809,1.816,63.7,65.1265675045824,36.5,-1.5,-0.11112672324696,-0.488696800952044
"7KXER","one",22,3.63289393939394,0.245701542420953,1.798,60.1333333333333,62.6129924655591,11.5,10.5,0.777887062728723,-2.41414385911207
"7KXER","two",1,3.70733333333333,0.245701542420953,1.798,60.1333333333333,62.6129924655591,11.5,-10.5,-0.777887062728723,-2.41414385911207
"7YLJ2","one",61,3.93237704918033,-0.285430280387348,1.79366666666667,67.1333333333333,70.2115282987403,49.5,11.5,0.851971544893364,0.512535669291168
"7YLJ2","two",38,3.36732456140351,-0.285430280387348,1.79366666666667,67.1333333333333,70.2115282987403,49.5,-11.5,-0.851971544893364,0.512535669291168
"8WOPO","one",44,3.87618181818182,1.49546027428827,1.44566666666667,63.6666666666667,98.8777404466018,41.5,2.5,0.185211205411601,-0.103607389320039
"8WOPO","two",39,3.37158974358974,1.49546027428827,1.44566666666667,63.6666666666667,98.8777404466018,41.5,-2.5,-0.185211205411601,-0.103607389320039
"9B714","one",50,3.21018,0.733365167303122,1.70966666666667,58.8,67.1478728405014,47.5,2.5,0.185211205411601,0.358499904638366
"9B714","two",45,3.46191111111111,0.733365167303122,1.70966666666667,58.8,67.1478728405014,47.5,-2.5,-0.185211205411601,0.358499904638366
"9CK10","one",31,3.43576344086022,-1.83958347937925,2.14433333333333,67.5666666666667,50.9380296484765,20.5,10.5,0.777887062728723,-1.72098291817446
"9CK10","two",10,4.11336666666667,-1.83958347937925,2.14433333333333,67.5666666666667,50.9380296484765,20.5,-10.5,-0.777887062728723,-1.72098291817446
"9DTO6","one",49,3.56897278911565,0.103709737171607,1.719,66.3,74.9607874924924,41,8,0.592675857317123,-0.14211633048324
"9DTO6","two",33,3.1800202020202,0.103709737171607,1.719,66.3,74.9607874924924,41,-8,-0.592675857317123,-0.14211633048324
"9JKMX","one",55,3.75677575757576,-0.400296875069372,1.80566666666667,67.9333333333333,70.1850592135465,32.5,22.5,1.66690084870441,-0.796768330257647
"9JKMX","two",10,3.49743333333333,-0.400296875069372,1.80566666666667,67.9333333333333,70.1850592135465,32.5,-22.5,-1.66690084870441,-0.796768330257647
"ASN86","one",53,3.47546540880503,-1.14254110456504,1.94366666666667,69.7666666666667,62.9764802276259,30.5,22.5,1.66690084870441,-0.950804094910449
"ASN86","two",8,3.55529166666667,-1.14254110456504,1.94366666666667,69.7666666666667,62.9764802276259,30.5,-22.5,-1.66690084870441,-0.950804094910449
"B5MNL","one",72,3.54631481481481,1.0145995026536,1.78433333333333,51.1,53.9565951048488,60.5,11.5,0.851971544893364,1.35973237488158
"B5MNL","two",49,3.26477551020408,1.0145995026536,1.78433333333333,51.1,53.9565951048488,60.5,-11.5,-0.851971544893364,1.35973237488158
"BLD30","one",23,3.39510144927536,1.0454965518637,1.60866666666667,60.4,77.1204934714234,46,-23,-1.70394308978673,0.242973081148765
"BLD30","two",69,3.3454347826087,1.0454965518637,1.60866666666667,60.4,77.1204934714234,46,23,1.70394308978673,0.242973081148765
"CAJR1","one",62,3.65191935483871,-1.53393997805577,2.02066666666667,70.5,59.2637676621227,49.5,12.5,0.926056027058004,0.512535669291168
"CAJR1","two",37,3.52194594594595,-1.53393997805577,2.02066666666667,70.5,59.2637676621227,49.5,-12.5,-0.926056027058004,0.512535669291168
"CPM1J","one",40,3.5016,-0.729213743519118,1.89,67.4666666666667,64.1077509943996,44.5,-4.5,-0.333380169740881,0.127446257659163
"CPM1J","two",49,3.36548979591837,-0.729213743519118,1.89,67.4666666666667,64.1077509943996,44.5,4.5,0.333380169740881,0.127446257659163
"F5871","one",86,3.32542635658915,0.0877280931031814,1.86766666666667,58.3,56.6178378677718,52,34,2.51887239359777,0.70508037510717
"F5871","two",18,3.45581481481481,0.0877280931031814,1.86766666666667,58.3,56.6178378677718,52,-34,-2.51887239359777,0.70508037510717
"FY4I5","one",60,3.17408888888889,0.803196862001922,1.80833333333333,52.4666666666667,54.0592916455798,52,8,0.592675857317123,0.70508037510717
"FY4I5","two",44,3.20510606060606,0.803196862001922,1.80833333333333,52.4666666666667,54.0592916455798,52,-8,-0.592675857317123,0.70508037510717
"GOMPR","one",57,3.74574269005848,0.821527410714289,1.80833333333333,52.2333333333333,53.8188754819717,45,12,0.889013785975684,0.165955198822364
"GOMPR","two",33,3.33214141414141,0.821527410714289,1.80833333333333,52.2333333333333,53.8188754819717,45,-12,-0.889013785975684,0.165955198822364
"GS89R","one",39,3.29031623931624,1.25926548713932,1.70433333333333,52.4,60.1829693382358,38.5,0.5,0.0370422410823202,-0.334661036299242
"GS89R","two",38,3.2109298245614,1.25926548713932,1.70433333333333,52.4,60.1829693382358,38.5,-0.5,-0.0370422410823202,-0.334661036299242
"GU238","one",36,3.92430555555556,0.44648891456237,1.858,54.2666666666667,53.2045934242015,33,3,0.222253446493921,-0.758259389094447
"GU238","two",30,3.78298888888889,0.44648891456237,1.858,54.2666666666667,53.2045934242015,33,-3,-0.222253446493921,-0.758259389094447
"HMX5M","one",21,3.32312698412698,-1.40114630397785,1.778,82.2,87.3627382054727,11,10,0.740844821646403,-2.45265280027527
"HMX5M","two",1,3.51466666666667,-1.40114630397785,1.778,82.2,87.3627382054727,11,-10,-0.740844821646403,-2.45265280027527
"IU3CX","one",75,3.46532888888889,-2.12574169375753,2.14933333333333,70.9333333333333,53.2483117817748,52.5,22.5,1.66690084870441,0.743589316270371
"IU3CX","two",30,3.252,-2.12574169375753,2.14933333333333,70.9333333333333,53.2483117817748,52.5,-22.5,-1.66690084870441,0.743589316270371
"KYM8B","one",67,3.62096517412935,-0.691188827137222,2.025,59.5333333333333,49.8488202193287,59,8,0.592675857317123,1.24420555139198
"KYM8B","two",51,3.47388235294118,-0.691188827137222,2.025,59.5333333333333,49.8488202193287,59,-8,-0.592675857317123,1.24420555139198
"LT277","one",49,3.47502040816327,0.537905143505983,1.80066666666667,56.2666666666667,58.4279293436552,44,5,0.370422410823202,0.088937316495963
"LT277","two",39,3.70598290598291,0.537905143505983,1.80066666666667,56.2666666666667,58.4279293436552,44,-5,-0.370422410823202,0.088937316495963
"M69PP","one",59,3.10274576271186,0.987770322710585,1.802,50.4666666666667,52.3340863029707,33.5,25.5,1.88915429519833,-0.719750447931247
